{'评论时间': '2024-02-07 21:33:04', 'IP属地': '湖南', '评论内容': '不都是中国人吗？为什么天灾也要骂，那些传统美德都哪去了'}
{'评论时间': '2024-02-07 21:39:38', 'IP属地': '河南', '评论内容': '这不就是下的雪没及时清理，第二天都是这样'}
{'评论时间': '2024-02-07 00:26:48', 'IP属地': '海南', '评论内容': '湖北的车友们…有隐藏门把手的车型么？分享一下哪个能弹出来的'}
{'评论时间': '2024-02-07 18:37:34', 'IP属地': '湖北', '评论内容': '哎呀！你们又没有撒盐'}
{'评论时间': '2024-02-07 20:10:54', 'IP属地': '江苏', '评论内容': '武汉不得安宁啊'}
{'评论时间': '2024-02-07 14:00:18', 'IP属地': '河南', '评论内容': '伟大善良的湖北人民'}
{'评论时间': '2024-02-07 10:01:41', 'IP属地': '贵州', '评论内容': '咦，电车香'}
{'评论时间': '2024-02-07 11:04:26', 'IP属地': '湖北', '评论内容': '那些带节奏的人，骂完东北骂河南，骂完河南骂湖北，终于把哈尔滨731的热度压下去了'}
{'评论时间': '2024-02-07 06:28:28', 'IP属地': '浙江', '评论内容': '是不是他们要在高速上过年了'}
{'评论时间': '2024-02-07 09:41:25', 'IP属地': '四川', '评论内容': '湖北人民'}
{'评论时间': '2024-02-07 12:34:15', 'IP属地': '浙江', '评论内容': '车顶不弄掉真的没事嘛'}
{'评论时间': '2024-02-07 00:16:47', 'IP属地': '湖南', '评论内容': '今年更惨的是在湖北高速开威马新能源汽车回家看恒大期房的股民。'}
{'评论时间': '2024-02-07 18:03:37', 'IP属地': '湖北', '评论内容': '燕子我刚到武汉啊'}
{'评论时间': '2024-02-07 20:53:24', 'IP属地': '湖北', '评论内容': '谁叫你不提前撒盐'}
{'评论时间': '2024-02-07 15:32:11', 'IP属地': '江西', '评论内容': '车顶的也铲下，你的赞会有十万'}
{'评论时间': '2024-02-07 02:27:32', 'IP属地': '河南', '评论内容': '啥是冻雨，就是象雨一样，滴到那里就会快速的冻住。这种天气我在山西遇到过，叫我今生难忘。别说车了，人走都难，所以说没经历过就不要说湖北了，因为我是司机，湖北加油'}
{'评论时间': '2024-02-07 12:01:48', 'IP属地': '江苏', '评论内容': '我们保护湖北'}
{'评论时间': '2024-02-07 19:06:50', 'IP属地': '黑龙江', '评论内容': '建议大家度娘搜一下：2021年11月9日 长春现冻雨天气 环卫部门昼夜清雪力争“雪停路通”       看看面对超过20mm降水量以上的冻雨天气，吉林怎么做的，要不是一直有人提醒长春冻雨，我还以为只有湖北这次遇到了这种灾害天气，因为人家清理的太快了，大家没感知到有灾害…我觉得网友们告诉湖北兄弟怎么做才能减小这种天气带来的危害，主要是认为前期工作没做好，没人说后期不努力，而且管事的领导确实不在工作岗位；但是湖北兄弟都认为网友们说的是湖北人不努力，这就成矛盾了…真的想多了，你们需要做的仅仅是学习一下清雪工作应该怎么开展而已，不用替不在岗的领导解释冻雨是什么情况，事实证明，冻雨这玩意在东北按照惯有方式也没有处理那么久，所以经验是可以借鉴的啊，以后再碰到这种天气，能应对就可以了，不是吗'}
{'评论时间': '2024-02-07 14:45:42', 'IP属地': '浙江', '评论内容': '看谁还说我们湖北人高冷'}
{'评论时间': '2024-02-07 02:56:15', 'IP属地': '广东', '评论内容': '电车确实省油'}
{'评论时间': '2024-02-07 21:27:09', 'IP属地': '贵州', '评论内容': '本人作为拥有一辆油车一辆电车的十年女老司机，想给还没买车的朋友一些忠告，油车不费电，电车不费油，想省油就买电车，想省电就买油车'}
{'评论时间': '2024-02-07 17:24:45', 'IP属地': '河南', '评论内容': '河南看到了'}
{'评论时间': '2024-02-07 20:01:44', 'IP属地': '河南', '评论内容': '河南的也是冻雨'}
{'评论时间': '2024-02-07 16:09:07', 'IP属地': '湖南', '评论内容': '别说湖北了，看看长沙岳麓山的树都倒了'}
{'评论时间': '2024-02-07 16:14:00', 'IP属地': '云南', '评论内容': '湖北高速公路管理方真厉害，一招就给电车制服了'}
{'评论时间': '2024-02-07 09:17:04', 'IP属地': '湖北', '评论内容': '喷子观点：路面结冰是积雪没有及时清理造成的，冻雨也是没有及时把降雨清理干净造成的'}
{'评论时间': '2024-02-07 11:21:18', 'IP属地': '北京', '评论内容': '湖北加油'}
{'评论时间': '2024-02-07 06:37:48', 'IP属地': '广东', '评论内容': '前几天有一个说这种情况就显示电车的优势了'}
{'评论时间': '2024-02-07 12:35:50', 'IP属地': '四川', '评论内容': '我要带着这张图走遍抖音让喷子们看看什么是冻雨，什么是雨夹雪，什么是冰碴子'}
{'评论时间': '2024-02-07 08:22:42', 'IP属地': '吉林', '评论内容': '湖北加油'}
{'评论时间': '2024-02-07 15:00:21', 'IP属地': '广东', '评论内容': '连回南天都没有见过，就不要扯什么你们那也下过冻雨了，是一个级别嘛'}
{'评论时间': '2024-02-07 19:29:27', 'IP属地': '河北', '评论内容': '加油'}
{'评论时间': '2024-02-07 17:01:23', 'IP属地': '黑龙江', '评论内容': '你这个雪铲夸张一点的说法，就是东北小孩的玩具'}
{'评论时间': '2024-02-07 12:56:45', 'IP属地': '河南', '评论内容': '才下的时候可以打雪仗，这都是半融化又冻的，别忽悠北方人'}
{'评论时间': '2024-02-07 08:53:23', 'IP属地': '福建', '评论内容': '南方人表示看了好好玩'}
{'评论时间': '2024-02-07 19:27:29', 'IP属地': '河北', '评论内容': '我再澄清一下，我们下雪就封闭高速，封闭高速，是为了清雪，但我们雪停了，清理完毕马上高速就开！其次，我还要说，所谓的冻雨我们见过，我们蒙东每次下雪，各企事业单位，临街商铺是会上街清雪的。还有，我们面对善意的建议跟提醒，我们会说谢谢，而不是说“我们不一样”，然后明明大家是说政府部门安排部署不得当，措施不够给力，结果民众自愿顶缸，说大家骂湖北人民'}
{'评论时间': '2024-02-07 11:33:09', 'IP属地': '江苏', '评论内容': '电车也敢上高速跑长途，上高速就算了还趁着春运期间上'}
{'评论时间': '2024-02-07 09:03:34', 'IP属地': '江西', '评论内容': '看起来好好玩的样子，我想玩'}
{'评论时间': '2024-02-07 19:34:01', 'IP属地': '湖北', '评论内容': '给我们湖北点赞，怎么这么好的视频这么少的点赞啊'}
{'评论时间': '2024-02-07 08:23:18', 'IP属地': '天津', '评论内容': '湖北加油'}
{'评论时间': '2024-02-07 16:43:21', 'IP属地': '湖北', '评论内容': '为什么不连夜撒盐撒融雪剂'}
{'评论时间': '2024-02-07 11:11:59', 'IP属地': '江西', '评论内容': '湖北每年都出名'}
{'评论时间': '2024-02-07 01:31:06', 'IP属地': '广东', '评论内容': '很解压'}
{'评论时间': '2024-02-07 14:08:58', 'IP属地': '广东', '评论内容': '管他们呢，反正我们广东不下雪'}
{'评论时间': '2024-02-07 10:54:36', 'IP属地': '河北', '评论内容': '湖北两大特点：1.嘴比冰还硬'}
{'评论时间': '2024-02-07 19:39:24', 'IP属地': '吉林', '评论内容': '主要是犟 八头驴拉不回来那种，告诉他原因以及快速处理方法，原因是应对不及时 导致被冻厚了 下次一边下一边清 ，应对方法调集湖北的挖机铲雪车 碎冰车 推机 多制作除冰铲用来铲冰层。结果人家说这是冻雨 下面全是冰 我的办法跟工具不适用 。就一直强调下面是冰！  我还不知道下面是冰吗？东北又不是没见过冰层路面！服了'}
{'评论时间': '2024-02-07 16:38:20', 'IP属地': '湖北', '评论内容': '让北方的朋友来抖，下的时候就该撒盐腌制好'}
{'评论时间': '2024-02-07 14:16:00', 'IP属地': '湖北', '评论内容': '我有个想法！把那些死了吗喷子不积口德的人，挂在冰凌下'}
{'评论时间': '2024-02-07 08:16:10', 'IP属地': '湖北', '评论内容': '某些顶着北方IP说自己年年见在这骂的   自己去看一下中国气象局发布的科普   冻雨的形成条件要有寒流和暖湿气流结合  你们那有暖湿气流吗？'}
{'评论时间': '2024-02-07 17:38:16', 'IP属地': '河南', '评论内容': '众所周知这次的冻雨是卡着河南和湖北的边界下得，河南这边是一点也没下啊？'}
{'评论时间': '2024-02-07 16:57:27', 'IP属地': '山东', '评论内容': '这种情况保险还保是不保？？？？'}
{'评论时间': '2024-02-07 06:17:01', 'IP属地': '江苏', '评论内容': '湖北加油'}
{'评论时间': '2024-02-07 07:30:25', 'IP属地': '河南', '评论内容': '湖北高速公路这次还收超时费吗'}
{'评论时间': '2024-02-07 10:20:34', 'IP属地': '广东', '评论内容': '我还是喜欢油车方便！不用找地方充电，还要排队，还怕塞车'}
{'评论时间': '2024-02-07 19:39:53', 'IP属地': '江苏', '评论内容': '不建议玩，因为无锡没有'}
{'评论时间': '2024-02-07 07:34:27', 'IP属地': '湖北', '评论内容': '一个正常的季节，下了一场正常的雪，遇到一群不正常的喷子，又是喷湖北，又是喷高铁，又是喷电车，又是喷机场，怎么了？在家闲的没事干了，你家门上的雪，你扫了吗，只在想等别人和政府干这干那，你自己闲着指挥，没看见别人的努力吗，眼中只有不如意，何必了，在这喷的时间，不如关心一下奋战一线的人'}
{'评论时间': '2024-02-07 12:37:56', 'IP属地': '湖北', '评论内容': '还买电车不'}
{'评论时间': '2024-02-07 14:14:47', 'IP属地': '湖南', '评论内容': '够了湖南人冻在家里空调都开不了'}
{'评论时间': '2024-02-07 20:06:13', 'IP属地': '河南', '评论内容': '就是没有及时清理，压的太实了，'}
{'评论时间': '2024-02-07 15:18:59', 'IP属地': '山东', '评论内容': '看着路边的雪跟路上的冻雨'}
{'评论时间': '2024-02-07 14:53:49', 'IP属地': '湖北', '评论内容': '以后谁在说电车好我就让他来试试湖北的冬天高速'}
{'评论时间': '2024-02-07 16:45:43', 'IP属地': '黑龙江', '评论内容': '东北这种情况不是天天见吗，铲车，挖掘机年年都用'}
{'评论时间': '2024-02-07 20:49:14', 'IP属地': '湖北', '评论内容': '问一下视频传到哪里了？'}
{'评论时间': '2024-02-07 10:47:10', 'IP属地': '湖南', '评论内容': '湖南湖北真的没错'}
{'评论时间': '2024-02-07 16:35:54', 'IP属地': '河南', '评论内容': '那些带节奏的人，骂完东北骂河南，骂完河南骂湖北，终于把哈尔滨731的热度压下去了'}
{'评论时间': '2024-02-07 12:14:09', 'IP属地': '四川', '评论内容': '电车只跑城市短途那不就是加强版老头乐'}
{'评论时间': '2024-02-07 18:07:31', 'IP属地': '山东', '评论内容': '就是雪踩实了，还冻雨'}
{'评论时间': '2024-02-07 11:37:53', 'IP属地': '北京', '评论内容': '危险啊！！！一踩刹车车顶雪全滑前挡风，那就噶了'}
{'评论时间': '2024-02-07 08:32:19', 'IP属地': '山东', '评论内容': '冻雨这个世界性灾难难题，被评论区攻克了'}
{'评论时间': '2024-02-07 00:12:57', 'IP属地': '河北', '评论内容': '好羡慕电车'}
{'评论时间': '2024-02-07 10:38:47', 'IP属地': '山西', '评论内容': '26号才从湖北回来，早上七点半的飞机，所以头天晚上住在天河镇，老少标配棉睡衣在镇里溜达，仿佛时间都慢了下来，饭店吃饭怕我冷给架碳盆，找不到小卖部随便问了路人就给领路，一颗颗热忱的心，一个个小小的举动都散发着他们的朴实与真诚，湖北人是真的善良'}
{'评论时间': '2024-02-07 12:34:32', 'IP属地': '北京', '评论内容': '感受到了电车车主的绝望'}
{'评论时间': '2024-02-07 10:43:50', 'IP属地': '湖北', '评论内容': '行，湖北就黄冈就黄梅没下雪，行行行'}
{'评论时间': '2024-02-07 18:26:44', 'IP属地': '江苏', '评论内容': '为什么受伤的总是大湖北'}
{'评论时间': '2024-02-07 18:46:53', 'IP属地': '海南', '评论内容': '可以用，但是建议要加热一下'}
{'评论时间': '2024-02-07 06:59:53', 'IP属地': '广东', '评论内容': '电车好啊，省啊，买啊'}
{'评论时间': '2024-02-07 07:04:11', 'IP属地': '安徽', '评论内容': '我们农民只知道下雪后，马上把自已家里的雪打扫一下，明天下雪，明天再打扫，自已家里及时清理，方便自已出行'}
{'评论时间': '2024-02-07 09:54:08', 'IP属地': '安徽', '评论内容': '到底谁在喷湖北'}
{'评论时间': '2024-02-07 14:55:41', 'IP属地': '江苏', '评论内容': '下雪的时候你怎么没蹲这等它一边下一边摇的'}
{'评论时间': '2024-02-07 22:59:22', 'IP属地': '湖北', '评论内容': '就不能撒盐吗？'}
{'评论时间': '2024-02-07 12:06:45', 'IP属地': '山东', '评论内容': '这不就是下完雪压实了成冰的样子吗？'}
{'评论时间': '2024-02-07 10:30:06', 'IP属地': '山西', '评论内容': '明天去武汉，有推荐去的地方吗'}
{'评论时间': '2024-02-07 15:31:29', 'IP属地': '辽宁', '评论内容': '那车辙印你是看不见吗？明显就是清理不及时压实了'}
{'评论时间': '2024-02-07 17:20:38', 'IP属地': '湖南', '评论内容': '湖北保险公司赔'}
{'评论时间': '2024-02-07 00:21:20', 'IP属地': '江苏', '评论内容': '这种情况可以打保险公司拖车吗？'}
{'评论时间': '2024-02-07 18:35:12', 'IP属地': '山东', '评论内容': '我就想不通，长途不看天气预报吗'}
{'评论时间': '2024-02-07 13:17:39', 'IP属地': '广西', '评论内容': '碰到这样的恶劣天气什么人都出来了，有骂湖北的 有感恩的 有说倒霉经过湖北的 有骂不铲雪的 有骂方便面贵的，唯独不骂自己出门没看天气预报'}
{'评论时间': '2024-02-07 18:01:25', 'IP属地': '湖北', '评论内容': '我先来 我先来； 这是车压成的冰 湖北人铲雪不及时'}
{'评论时间': '2024-02-07 14:35:09', 'IP属地': '北京', '评论内容': '我当解压视频看完的'}
{'评论时间': '2024-02-07 22:33:08', 'IP属地': '吉林', '评论内容': '天灾无情人有情'}
{'评论时间': '2024-02-07 23:59:46', 'IP属地': '广西', '评论内容': '湖北应该不清理雪 卖点雪地胎 防滑链'}
{'评论时间': '2024-02-07 04:05:16', 'IP属地': '河南', '评论内容': '知道湖北下冻雨意味着什么吗'}
{'评论时间': '2024-02-07 09:40:41', 'IP属地': '北京', '评论内容': '还是电车好，说啥都是电车好，哈哈哈哈'}
{'评论时间': '2024-02-07 21:44:50', 'IP属地': '湖北', '评论内容': '这冻雨还得要独宠河南，豫豫有经验，希望以后不要嚯嚯鄂鄂湘湘和赣赣了。爱他妈去哪儿去哪儿，别的省经验都挺足的，可得使劲儿往他们那儿下'}
{'评论时间': '2024-02-07 20:03:16', 'IP属地': '上海', '评论内容': '其实有常识都懂，这是压实了'}
{'评论时间': '2024-02-07 10:20:45', 'IP属地': '辽宁', '评论内容': '你来东北试试浇桶水'}
{'评论时间': '2024-02-07 21:33:47', 'IP属地': '江苏', '评论内容': '江苏人的经验，路面上撒盐！我们这边都不给它结冰的机会'}
{'评论时间': '2024-02-07 18:18:10', 'IP属地': '福建', '评论内容': '有保险公司'}
{'评论时间': '2024-02-07 04:58:28', 'IP属地': '四川', '评论内容': '电车好啊'}
{'评论时间': '2024-02-07 22:04:09', 'IP属地': '山东', '评论内容': '感谢这位地道湖北大哥的狡辩！'}
{'评论时间': '2024-02-07 10:18:39', 'IP属地': '湖北', '评论内容': '感觉挺好玩的，我来起床去敲我车上的冰'}
{'评论时间': '2024-02-07 08:52:16', 'IP属地': '湖北', '评论内容': '湖北加油'}
{'评论时间': '2024-02-07 22:49:06', 'IP属地': '山东', '评论内容': '我就告诉你，在东北，水，雨，雪，雨夹雪，雾霾，霜，冰，雹，大雪，特大雪，没有我们整不了的，唯一整不了的就是喷子'}
{'评论时间': '2024-02-07 09:33:07', 'IP属地': '四川', '评论内容': '湖北人：冰冻三尺非一日之寒这句话是错的'}
{'评论时间': '2024-02-07 19:18:35', 'IP属地': '辽宁', '评论内容': '我就是来评论区溜达溜达'}
{'评论时间': '2024-02-07 22:42:57', 'IP属地': '安徽', '评论内容': '湖北的冻雨都下路上了'}
{'评论时间': '2024-02-07 07:41:11', 'IP属地': '辽宁', '评论内容': '团结一致，不要被国外间谍当枪使！湖北加油'}
{'评论时间': '2024-02-07 01:56:17', 'IP属地': '湖北', '评论内容': '冻雨不可怕，可怕的是内奸带节奏自以为是的大聪明'}
{'评论时间': '2024-02-07 01:23:53', 'IP属地': '新疆', '评论内容': '车顶一定得弄干净啊兄弟们'}
{'评论时间': '2024-02-07 19:49:47', 'IP属地': '湖北', '评论内容': '湖北人，一定行，湖北人留'}
{'评论时间': '2024-02-07 13:05:00', 'IP属地': '山东', '评论内容': '冻雨专门下在高速上啊？我看高速下边的路挺干净的啊'}
{'评论时间': '2024-02-07 09:54:33', 'IP属地': '湖北', '评论内容': '一个评论区看到的'}
{'评论时间': '2024-02-07 23:47:09', 'IP属地': '广西', '评论内容': '为湖北人民点赞，为中国一家人点赞'}
{'评论时间': '2024-02-07 04:48:12', 'IP属地': '安徽', '评论内容': '可以当解压视频看'}
{'评论时间': '2024-02-07 05:30:37', 'IP属地': '天津', '评论内容': '北方人的手艺被南方人偷走了'}
{'评论时间': '2024-02-07 10:32:06', 'IP属地': '中国香港', '评论内容': '车上的冬雨透明光滑的，边上是下雪的痕迹，我舅昨天在武汉拍的照片，我小时候也是湖北长大的没必要黑自己，只能说上面有five，口罩的时候就是如此，今天又有替罪羊出来被通报批评'}
{'评论时间': '2024-02-07 14:49:16', 'IP属地': '江苏', '评论内容': '这个视频告知，看你们过年还开车回家不'}
{'评论时间': '2024-02-07 07:28:30', 'IP属地': '新疆', '评论内容': '这种自然奇观从来没有见过，感觉很好看'}
{'评论时间': '2024-02-07 14:14:00', 'IP属地': '湖北', '评论内容': '湖北人顶你'}
{'评论时间': '2024-02-07 09:12:00', 'IP属地': '内蒙古', '评论内容': '真解压'}
{'评论时间': '2024-02-07 08:42:26', 'IP属地': '海南', '评论内容': '让开让我来，解压'}
{'评论时间': '2024-02-07 14:17:05', 'IP属地': '安徽', '评论内容': '辛苦了'}
{'评论时间': '2024-02-07 19:08:43', 'IP属地': '江苏', '评论内容': '湖北男人一人一泡尿马上就解封了'}
{'评论时间': '2024-02-07 11:54:00', 'IP属地': '江苏', '评论内容': '你这是你自己压实的吧'}
{'评论时间': '2024-02-07 20:46:50', 'IP属地': '河南', '评论内容': '现在发现湖北人是真犟啊'}
{'评论时间': '2024-02-07 01:36:11', 'IP属地': '广西', '评论内容': '那个玻璃要是撬下来了你至少哭三天'}
{'评论时间': '2024-02-07 01:10:18', 'IP属地': '湖北', '评论内容': '湖北真的不容易'}
{'评论时间': '2024-02-07 10:13:51', 'IP属地': '吉林', '评论内容': '一看确实是没经历过雨雪天气啊，来东北我教你'}
{'评论时间': '2024-02-07 15:37:10', 'IP属地': '山东', '评论内容': '中国人就是一家人'}
{'评论时间': '2024-02-07 11:48:07', 'IP属地': '四川', '评论内容': '还是油车省电'}
{'评论时间': '2024-02-07 02:16:04', 'IP属地': '山东', '评论内容': '低情商:懒高情商:冻雨'}
{'评论时间': '2024-02-07 09:54:25', 'IP属地': '陕西', '评论内容': '泪目了！湖北加油'}
{'评论时间': '2024-02-07 13:13:36', 'IP属地': '贵州', '评论内容': '吃着油车的福利说电车好，各种费现在都是油车在担'}
{'评论时间': '2024-02-07 10:46:22', 'IP属地': '宁夏', '评论内容': '好爽好解压'}
{'评论时间': '2024-02-07 06:07:22', 'IP属地': '广西', '评论内容': '还好今年没去武汉玩不然也得在高速过年啦'}
{'评论时间': '2024-02-07 00:06:36', 'IP属地': '湖南', '评论内容': '那些带节奏的人，骂完东北骂河南，骂完河南骂湖北，终于把哈尔滨731的热度压下去了'}
{'评论时间': '2024-02-07 09:50:34', 'IP属地': '内蒙古', '评论内容': '湖北加油！！！'}
{'评论时间': '2024-02-07 17:01:18', 'IP属地': '山东', '评论内容': '我一直没明白还是有部分湖北朋友没明白，提前撒融雪剂的作用。  有的跟我说下雨冲走了没有用'}
{'评论时间': '2024-02-07 10:30:55', 'IP属地': '江苏', '评论内容': '你要杀了我吗朋友'}
{'评论时间': '2024-02-07 02:35:19', 'IP属地': '湖南', '评论内容': '我一个没读什么书的都记得成语（滴水成冰），现在还有人说冻雨是啥新词我不知该如何想象他是不是国人'}
{'评论时间': '2024-02-07 13:45:45', 'IP属地': '江苏', '评论内容': '别的地方下暴雪：封高速连夜铲雪湖北下暴雪：给全国人民抖音普及知识第一天这是冻雨，第二天这是冻雨，第三天这还是冻雨，雪是铲不了一点'}
{'评论时间': '2024-02-07 18:43:52', 'IP属地': '湖南', '评论内容': '这怎么报道的，北方人说常见的很，年年有两三次呢'}
{'评论时间': '2024-02-07 16:56:40', 'IP属地': '安徽', '评论内容': '我想知道这个保险赔不赔？'}
{'评论时间': '2024-02-07 00:31:50', 'IP属地': '重庆', '评论内容': '趴窝了吧，我油车一熄火啥耗都没有'}
{'评论时间': '2024-02-07 18:40:58', 'IP属地': '福建', '评论内容': '还很多没良心的感觉这样是人家应该的人家欠他们的，这社会没有谁欠谁的也没有应该帮你干嘛，人心换人心，希望大家都能平平安安回家过大年'}
{'评论时间': '2024-02-07 08:16:51', 'IP属地': '广东', '评论内容': '快过年了，希望顺顺利利回家过年，希望早日解决困难，大家顺顺利利回家过大年，平平安安。'}
{'评论时间': '2024-02-07 10:09:26', 'IP属地': '河南', '评论内容': '自己看看湖北怎么除雪的吧作秀呢'}
{'评论时间': '2024-02-07 02:40:43', 'IP属地': '湖北', '评论内容': '湖北人挺住，湖北加油'}
{'评论时间': '2024-02-07 19:41:50', 'IP属地': '江苏', '评论内容': '就是嘴硬，哪儿的雪被压实都是这么结实'}
{'评论时间': '2024-02-07 19:51:19', 'IP属地': '四川', '评论内容': '不用解释冻雨，北方人基本都见过'}
{'评论时间': '2024-02-07 15:29:33', 'IP属地': '山东', '评论内容': '今日知识点：犟种讲解冻雨的定义及清理方法，请做好笔记'}
{'评论时间': '2024-02-07 12:04:49', 'IP属地': '广西', '评论内容': '关键时刻还得油车'}
{'评论时间': '2024-02-07 16:35:36', 'IP属地': '四川', '评论内容': '看了评论区我才知道原来是政机关让老天爷下的雪结的冰'}
{'评论时间': '2024-02-07 19:05:10', 'IP属地': '辽宁', '评论内容': '部分湖北这波好离谱 先是给各省人民科普，然后骂各省人民'}
{'评论时间': '2024-02-07 14:25:50', 'IP属地': '河南', '评论内容': '湖北这几年不容易啊'}
{'评论时间': '2024-02-07 17:26:59', 'IP属地': '天津', '评论内容': '只有湖北有这特产'}
{'评论时间': '2024-02-07 03:13:46', 'IP属地': '贵州', '评论内容': '说电车好的人去哪点'}
{'评论时间': '2024-02-07 11:15:24', 'IP属地': '山西', '评论内容': '怎么又是湖北 '}
{'评论时间': '2024-02-07 11:42:37', 'IP属地': '辽宁', '评论内容': '电车能手摇发电  油车能尿尿加油么'}
{'评论时间': '2024-02-07 11:37:28', 'IP属地': '湖北', '评论内容': '冻雨是周四晚上下的周五没重视周六周日要休息周一周二要科普冻雨周三没得办法了必须要上了'}
{'评论时间': '2024-02-07 16:07:14', 'IP属地': '广东', '评论内容': '这个保险会陪吗？'}
{'评论时间': '2024-02-07 15:18:46', 'IP属地': '湖北', '评论内容': '湖北冻雨'}
{'评论时间': '2024-02-07 14:41:01', 'IP属地': '福建', '评论内容': '湖北的老爷们看到湖北人民这么团结还是很欣慰的，这要是搁福建，得让福建人民骂自闭了'}
{'评论时间': '2024-02-07 11:26:35', 'IP属地': '福建', '评论内容': '开电车走国道'}
{'评论时间': '2024-02-07 21:00:59', 'IP属地': '上海', '评论内容': '湖北武汉'}
{'评论时间': '2024-02-07 04:17:07', 'IP属地': '湖南', '评论内容': '加油'}
{'评论时间': '2024-02-07 09:38:33', 'IP属地': '山西', '评论内容': '谁走长途高速开电车'}
{'评论时间': '2024-02-07 19:09:56', 'IP属地': '北京', '评论内容': '我做梦都没敢想有这一天，湖北全体给东北全体普及冰雪文化。东北啊，那是把冰雪玩出花来拿冰雪盖房子的地方啊！！！湖北兄弟们你们太愣了'}
{'评论时间': '2024-02-07 00:39:22', 'IP属地': '广东', '评论内容': '广东支持湖北加油'}
{'评论时间': '2024-02-07 11:21:28', 'IP属地': '河北', '评论内容': '呵呵，这波舆论宣传可卖力气，我说了个和我们这大雪压实化了又冻上一样，结果捅了娄子，一堆人给我科普'}
{'评论时间': '2024-02-07 05:16:22', 'IP属地': '四川', '评论内容': '🙋喜欢干这事，好想去帮你除冰，好玩'}
{'评论时间': '2024-02-07 10:59:16', 'IP属地': '广东', '评论内容': '为什么下雪🌨️天还要开电车上高速'}
{'评论时间': '2024-02-07 22:42:36', 'IP属地': '湖北', '评论内容': '其实我这几天看这些视频真的一直在流泪，都希望每个人安全送到家，可还是有很多人骂，也还是有很多理解'}
{'评论时间': '2024-02-07 20:52:47', 'IP属地': '江苏', '评论内容': '这不是就是雪清理不及时被压实了嘛'}
{'评论时间': '2024-02-07 16:12:04', 'IP属地': '湖南', '评论内容': '所以呢 下冻雨了 走不了 就骂我老表'}
{'评论时间': '2024-02-07 17:52:55', 'IP属地': '广东', '评论内容': '我公司的仓库就在武汉，原来是真的发不了货'}
{'评论时间': '2024-02-07 10:31:29', 'IP属地': '河北', '评论内容': '效率方法比湖北高速厉害'}
{'评论时间': '2024-02-07 11:56:53', 'IP属地': '山东', '评论内容': '刚刚堵回来，电车'}
{'评论时间': '2024-02-07 09:09:41', 'IP属地': '吉林', '评论内容': '我们东北下雪 从下雪开始清理 下一晚上雪 早上路面基本就没有雪了 不得不说 我们的环卫工人非常优秀'}
{'评论时间': '2024-02-07 08:55:38', 'IP属地': '陕西', '评论内容': '我觉得吧！南方的应该买电车，北方的吧还是买油车好一点'}
{'评论时间': '2024-02-07 12:58:54', 'IP属地': '江西', '评论内容': '电车不行啊'}
{'评论时间': '2024-02-07 21:58:22', 'IP属地': '湖北', '评论内容': '湖北人谢谢老师为我们发声'}
{'评论时间': '2024-02-07 17:26:15', 'IP属地': '河南', '评论内容': '想知道哪里有下雨就成冰的视频，我想看看'}
{'评论时间': '2024-02-07 03:05:46', 'IP属地': '江苏', '评论内容': '我想知道什么电车不启动也掉电'}
{'评论时间': '2024-02-07 13:21:15', 'IP属地': '湖南', '评论内容': '我就站在这了，今日谁想动我老表，先过了我这关'}
{'评论时间': '2024-02-07 04:50:06', 'IP属地': '吉林', '评论内容': '每次刷到冻雨的视频，我都会想起前几年下冻雨我大姑姐听信别人用锤子敲挡风玻璃的冰，然后把挡风玻璃敲碎'}
{'评论时间': '2024-02-07 09:55:37', 'IP属地': '上海', '评论内容': '电车送给我都不要'}
{'评论时间': '2024-02-07 23:35:04', 'IP属地': '河南', '评论内容': '河南收到了加油'}
{'评论时间': '2024-02-07 04:43:43', 'IP属地': '河南', '评论内容': '教电车司机一招，我小时候玩电车电池没电就把电池扣出来咬一咬还能再跑一跑，希望能帮到你们'}
{'评论时间': '2024-02-07 21:09:52', 'IP属地': '广西', '评论内容': '广西桂林人为湖北好人点赞！'}
{'评论时间': '2024-02-07 02:48:51', 'IP属地': '上海', '评论内容': '好解压呀'}
{'评论时间': '2024-02-07 13:34:34', 'IP属地': '辽宁', '评论内容': '就问你省不省油吧'}
{'评论时间': '2024-02-07 21:22:21', 'IP属地': '安徽', '评论内容': '还冻雨？这不就没及时清理被压实了嘛'}
{'评论时间': '2024-02-07 11:36:37', 'IP属地': '山东', '评论内容': '不成熟建议。一人一把工兵铲，是不是就可以自救了'}
{'评论时间': '2024-02-07 13:01:53', 'IP属地': '山东', '评论内容': '电车好，就是电车好'}
{'评论时间': '2024-02-07 12:47:53', 'IP属地': '山东', '评论内容': '可是电车省油啊'}
{'评论时间': '2024-02-07 20:52:12', 'IP属地': '安徽', '评论内容': '你普及个🥚，拿安徽金寨的视频给湖北长脸'}
{'评论时间': '2024-02-07 01:57:01', 'IP属地': '浙江', '评论内容': '前段时间浙江下雪，我也是一大早起来给车铲了个遍'}
{'评论时间': '2024-02-07 05:14:01', 'IP属地': '广东', '评论内容': '是啊，被困期间把武汉游了个遍'}
{'评论时间': '2024-02-07 14:23:40', 'IP属地': '浙江', '评论内容': '多灾多难的武汉，加油挺住'}
{'评论时间': '2024-02-07 22:45:09', 'IP属地': '山东', '评论内容': '山东冻雨'}
