{'评论时间': '2024-02-02 19:58:28', 'IP属地': '湖北', '评论内容': '这里程表会显示多少码呢'}
{'评论时间': '2024-02-02 17:14:33', 'IP属地': '湖北', '评论内容': '突然不滑了会不会窜出去？再一刹车，又打滑了'}
{'评论时间': '2024-02-02 17:19:18', 'IP属地': '河南', '评论内容': '看来交警也是喜欢看热闹呀'}
{'评论时间': '2024-02-02 20:12:17', 'IP属地': '湖北', '评论内容': '因为怕开车打滑，我步行去上班。结果在路上滑倒了，摔了个狗吃屎'}
{'评论时间': '2024-02-02 18:25:34', 'IP属地': '四川', '评论内容': '原来还是交警推的'}
{'评论时间': '2024-02-02 18:39:48', 'IP属地': '广东', '评论内容': '我们贵州经常冻雨'}
{'评论时间': '2024-02-02 18:01:51', 'IP属地': '甘肃', '评论内容': '晚上到，嗯不嗯？'}
{'评论时间': '2024-02-02 19:20:41', 'IP属地': '浙江', '评论内容': '百公里三十几个油'}
{'评论时间': '2024-02-02 15:26:12', 'IP属地': '河南', '评论内容': '油门越大越跑不动'}
{'评论时间': '2024-02-02 16:06:21', 'IP属地': '湖北', '评论内容': '推车的是临时工，指挥的是正式工'}
{'评论时间': '2024-02-02 22:20:11', 'IP属地': '浙江', '评论内容': '后面交警出现帮忙推的时候我绷不住了'}
{'评论时间': '2024-02-02 21:22:59', 'IP属地': '湖北', '评论内容': '不要冻雨不要冰，要雪，大雪中的武汉最美'}
{'评论时间': '2024-02-02 17:41:40', 'IP属地': '贵州', '评论内容': '100公里100油耗'}
{'评论时间': '2024-02-02 14:40:54', 'IP属地': '湖北', '评论内容': '在光滑滴路上滋啊操啊'}
{'评论时间': '2024-02-02 19:35:53', 'IP属地': '湖北', '评论内容': '交警辛苦啦'}
{'评论时间': '2024-02-02 15:45:34', 'IP属地': '湖北', '评论内容': '荆州的冻雨，跟雪一样厚'}
{'评论时间': '2024-02-02 17:02:38', 'IP属地': '广东', '评论内容': '油门小点'}
{'评论时间': '2024-02-02 18:43:58', 'IP属地': '湖北', '评论内容': '就是这么高冷，'}
{'评论时间': '2024-02-02 18:47:19', 'IP属地': '湖南', '评论内容': '交警要撒点草木灰'}
{'评论时间': '2024-02-02 20:20:30', 'IP属地': '湖北', '评论内容': '这叫冰雨，伙计'}
{'评论时间': '2024-02-02 18:38:21', 'IP属地': '河北', '评论内容': '车里程两万  实际行驶2000'}
{'评论时间': '2024-02-02 18:37:31', 'IP属地': '山东', '评论内容': '百公里油耗100升'}
{'评论时间': '2024-02-02 15:41:47', 'IP属地': '湖南', '评论内容': '百公里油耗70升'}
{'评论时间': '2024-02-02 18:18:25', 'IP属地': '湖北', '评论内容': '这叫冻雨'}
{'评论时间': '2024-02-02 20:02:04', 'IP属地': '河南', '评论内容': '后轱辘不转，前轱辘转，原地打转斯密达'}
{'评论时间': '2024-02-02 23:39:15', 'IP属地': '广东', '评论内容': '湖北人真抗冻'}
{'评论时间': '2024-02-02 12:44:35', 'IP属地': '广东', '评论内容': '感谢分享，雪没见过，冻雨还是笫一次看到'}
{'评论时间': '2024-02-02 19:58:55', 'IP属地': '天津', '评论内容': '这百公里得几个油'}
{'评论时间': '2024-02-02 19:41:12', 'IP属地': '四川', '评论内容': '第一：轮胎可以放点气第二：能不踩油门就别踩油门，轮胎转的越快越容易打滑'}
{'评论时间': '2024-02-02 15:26:19', 'IP属地': '江苏', '评论内容': '爬个坡就干了50公里'}
{'评论时间': '2024-02-02 19:22:12', 'IP属地': '吉林', '评论内容': '这要是手动挡 直接三档起步就可以了    一档永远打滑'}
{'评论时间': '2024-02-02 19:17:49', 'IP属地': '湖北', '评论内容': '我不出门'}
{'评论时间': '2024-02-02 15:54:21', 'IP属地': '湖北', '评论内容': '油门越大跑得才快'}
{'评论时间': '2024-02-02 14:48:44', 'IP属地': '河南', '评论内容': '轻点油门'}
{'评论时间': '2024-02-02 17:26:01', 'IP属地': '湖北', '评论内容': '里程表跑了一百公里，实际走动了300米。'}
{'评论时间': '2024-02-02 18:27:31', 'IP属地': '安徽', '评论内容': '交警：你倒是走呀！'}
{'评论时间': '2024-02-02 17:23:39', 'IP属地': '湖北', '评论内容': '手自一体的话用手动挡轻松起步'}
{'评论时间': '2024-02-02 19:59:39', 'IP属地': '湖北', '评论内容': '这开车的目标是什么，好玩吗'}
{'评论时间': '2024-02-02 18:58:32', 'IP属地': '四川', '评论内容': '走路都到家了，你还在路上车转转'}
{'评论时间': '2024-02-02 18:50:09', 'IP属地': '福建', '评论内容': '交警叔叔，你看他那么急，慢慢推一下不行吗？'}
{'评论时间': '2024-02-02 22:46:11', 'IP属地': '湖北', '评论内容': '冻雨是湖北的特产！'}
{'评论时间': '2024-02-02 18:52:02', 'IP属地': '湖北', '评论内容': '就是这么高冷'}
{'评论时间': '2024-02-02 16:44:46', 'IP属地': '河南', '评论内容': '我刚开始还在想这车轮转那么快，最后一看还有俩交警在推'}
{'评论时间': '2024-02-02 13:09:00', 'IP属地': '广东', '评论内容': '你湖北有的，我湖南也有'}
{'评论时间': '2024-02-02 18:36:50', 'IP属地': '新疆', '评论内容': '你们那儿没有雪地胎吗'}
{'评论时间': '2024-02-02 19:20:49', 'IP属地': '湖北', '评论内容': '给大家科普一下，有一种东西叫防滑链。'}
{'评论时间': '2024-02-02 20:39:47', 'IP属地': '湖北', '评论内容': '但凡油门小一点也就过去了'}
{'评论时间': '2024-02-02 18:22:41', 'IP属地': '湖南', '评论内容': '我们湖南也下了冻雨'}
{'评论时间': '2024-02-02 18:55:08', 'IP属地': '安徽', '评论内容': '这车动力不错，起步烧胎'}
{'评论时间': '2024-02-02 16:26:38', 'IP属地': '湖北', '评论内容': '今天体会了四驱雪地模式，还阔以'}
{'评论时间': '2024-02-02 17:54:38', 'IP属地': '湖北', '评论内容': '早上起来开车脑壳疼   我也迷茫    挡风玻璃咋样防护   求解'}
{'评论时间': '2024-02-02 21:18:16', 'IP属地': '湖北', '评论内容': '武汉宁可下冻雨，也不愿意下雪'}
{'评论时间': '2024-02-02 17:40:24', 'IP属地': '湖北', '评论内容': '武汉的斑马满天飞'}
{'评论时间': '2024-02-02 15:21:45', 'IP属地': '湖北', '评论内容': '今天早上接亲我们那么多车也没打滑啊，就是玻璃结冰用水冲了很久'}
{'评论时间': '2024-02-02 18:21:32', 'IP属地': '湖北', '评论内容': '我早上还以为是晚上结冰的，结果在抖音才发现是冻雨，刷新我认知'}
{'评论时间': '2024-02-02 19:21:45', 'IP属地': '湖北', '评论内容': '前轱辘转后轱辘不转'}
{'评论时间': '2024-02-02 18:04:45', 'IP属地': '湖北', '评论内容': '下冻雨适合拍腊梅 真的超好看'}
{'评论时间': '2024-02-02 21:12:55', 'IP属地': '河南', '评论内容': '一公里干下去半箱油。'}
{'评论时间': '2024-02-02 12:10:09', 'IP属地': '湖北', '评论内容': '今年才看到这个词，冻雨是啥'}
{'评论时间': '2024-02-02 18:09:01', 'IP属地': '河南', '评论内容': '油门加的还小，踩到底，磨爆能走了'}
{'评论时间': '2024-02-02 20:00:38', 'IP属地': '湖北', '评论内容': '湖北最后的倔强-再冷就是不下雪'}
{'评论时间': '2024-02-02 16:34:40', 'IP属地': '四川', '评论内容': '怠速走比你踩油门快'}
{'评论时间': '2024-02-02 19:06:31', 'IP属地': '湖北', '评论内容': '湖北的冻雨真是厉害，九阴白骨爪在它面前都无可奈何地干拜下风'}
{'评论时间': '2024-02-02 18:09:13', 'IP属地': '河北', '评论内容': '百公里几个油'}
{'评论时间': '2024-02-02 18:14:03', 'IP属地': '河南', '评论内容': '你这油耗和里程怎么也对不上啊'}
{'评论时间': '2024-02-02 20:45:17', 'IP属地': '湖北', '评论内容': '反正就是不下雪'}
{'评论时间': '2024-02-02 18:14:01', 'IP属地': '陕西', '评论内容': '看轮胎转这速度得有120km/h'}
{'评论时间': '2024-02-02 18:40:37', 'IP属地': '河南', '评论内容': '这种开法，开履带的都得打滑'}
{'评论时间': '2024-02-02 16:54:56', 'IP属地': '湖北', '评论内容': '防滑链的供应商生意，应该有送货服务'}
{'评论时间': '2024-02-02 17:47:44', 'IP属地': '上海', '评论内容': '一顿操作猛如虎，原来是后面还一个在推车'}
{'评论时间': '2024-02-02 14:50:09', 'IP属地': '湖北', '评论内容': '雪地胎无视这些'}
{'评论时间': '2024-02-02 21:07:46', 'IP属地': '河南', '评论内容': '玩呢？搁这刷公里数呢'}
{'评论时间': '2024-02-02 19:05:35', 'IP属地': '辽宁', '评论内容': '前轱辘转后轱辘不转思密达'}
{'评论时间': '2024-02-02 17:14:37', 'IP属地': '湖北', '评论内容': '不下雪的冬天不浪漫'}
{'评论时间': '2024-02-02 20:05:01', 'IP属地': '陕西', '评论内容': '前轱辘转后轱辘不转思密达'}
{'评论时间': '2024-02-02 21:46:35', 'IP属地': '湖北', '评论内容': '湖北的高冷有一半是冻出来滴'}
{'评论时间': '2024-02-02 19:46:02', 'IP属地': '广东', '评论内容': '原来是这样冻雨'}
{'评论时间': '2024-02-02 17:33:16', 'IP属地': '河南', '评论内容': '没用过新疆的雪地胎'}
{'评论时间': '2024-02-02 16:29:46', 'IP属地': '江苏', '评论内容': '年初一到武汉，看了天气预报，貌似那几天很冷'}
{'评论时间': '2024-02-02 22:20:19', 'IP属地': '湖北', '评论内容': '今天早上为了开车出去，我又是温水又是起动车预热吹暖风除雾硬是用了半小时'}
{'评论时间': '2024-02-02 16:54:07', 'IP属地': '湖北', '评论内容': '我还是第一次听冻雨这个词'}
{'评论时间': '2024-02-02 23:30:17', 'IP属地': '陕西', '评论内容': '看看你们花大价钱买的（遇百财）玉白菜，湖北的才是纯天然的玉白菜'}
{'评论时间': '2024-02-02 15:42:35', 'IP属地': '湖北', '评论内容': '不出门不行吗'}
{'评论时间': '2024-02-02 16:48:51', 'IP属地': '湖北', '评论内容': '仪表显示跑了7，8公里，实际只跑了10米'}
{'评论时间': '2024-02-02 18:48:10', 'IP属地': '河南', '评论内容': '这交警真埃'}
{'评论时间': '2024-02-02 15:06:36', 'IP属地': '湖北', '评论内容': '一看就是新手，慢起步打一下方向就走了'}
{'评论时间': '2024-02-02 20:40:12', 'IP属地': '河南', '评论内容': '湖北下的都比洛阳大'}
{'评论时间': '2024-02-02 15:38:27', 'IP属地': '湖北', '评论内容': '没有结冰？车上能正常走'}
{'评论时间': '2024-02-02 19:50:48', 'IP属地': '湖南', '评论内容': '在滑一下轮胎废了'}
{'评论时间': '2024-02-02 18:31:27', 'IP属地': '湖北', '评论内容': '武汉全网都在拍冻雨'}
{'评论时间': '2024-02-02 17:50:23', 'IP属地': '湖北', '评论内容': '百公里1000個油'}
{'评论时间': '2024-02-02 17:20:52', 'IP属地': '安徽', '评论内容': '雪地要底速档，小油门'}
{'评论时间': '2024-02-02 17:43:42', 'IP属地': '湖南', '评论内容': '湖北话，怎么跟湖南话，一模一样'}
{'评论时间': '2024-02-02 18:52:23', 'IP属地': '广东', '评论内容': '走路比开车还快'}
{'评论时间': '2024-02-02 19:52:34', 'IP属地': '黑龙江', '评论内容': '没使用雪地胎'}
{'评论时间': '2024-02-02 21:48:40', 'IP属地': '湖北', '评论内容': '没暖气哦'}
{'评论时间': '2024-02-02 15:49:33', 'IP属地': '湖北', '评论内容': '好想唱一首歌：冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-02 13:12:07', 'IP属地': '浙江', '评论内容': '湖北特产，申请国家专利'}
{'评论时间': '2024-02-02 22:26:57', 'IP属地': '湖北', '评论内容': '冻雨本来是雨只是接触到0℃以下的物体立刻变成冰'}
{'评论时间': '2024-02-02 19:20:39', 'IP属地': '河南', '评论内容': '变速箱跟轮胎对了一晚上账'}
{'评论时间': '2024-02-02 20:57:02', 'IP属地': '湖北', '评论内容': '广东好好的，湖南说帮我洗洗，湖北说你高冷'}
{'评论时间': '2024-02-02 20:41:23', 'IP属地': '湖北', '评论内容': '油耗20个油起步。'}
{'评论时间': '2024-02-02 15:20:41', 'IP属地': '湖北', '评论内容': '今天出门，眼睛近视了，还以为树上开小白花了呢'}
{'评论时间': '2024-02-02 19:31:53', 'IP属地': '湖北', '评论内容': '前轱辘不转后轱辘转'}
{'评论时间': '2024-02-02 19:41:51', 'IP属地': '山东', '评论内容': '只能说车不行'}
{'评论时间': '2024-02-02 19:07:37', 'IP属地': '四川', '评论内容': '前进还是因为交警在推哈哈哈'}
{'评论时间': '2024-02-02 18:07:18', 'IP属地': '河南', '评论内容': '油门再加大点就好了'}
{'评论时间': '2024-02-02 13:55:50', 'IP属地': '湖北', '评论内容': '以前叫下令了，现在叫冻雨'}
{'评论时间': '2024-02-02 16:08:07', 'IP属地': '湖北', '评论内容': '湖北'}
{'评论时间': '2024-02-02 19:17:46', 'IP属地': '湖北', '评论内容': '冰冻天气开车出门的人是什么心理'}
{'评论时间': '2024-02-02 18:18:54', 'IP属地': '广东', '评论内容': '百公里油耗一个中石化'}
{'评论时间': '2024-02-02 16:05:58', 'IP属地': '湖北', '评论内容': '2档起步好使'}
{'评论时间': '2024-02-02 16:41:26', 'IP属地': '湖南', '评论内容': '百公里油耗一箱吗'}
{'评论时间': '2024-02-02 21:21:45', 'IP属地': '河南', '评论内容': '前轱辘转后轱辘不转思密达'}
{'评论时间': '2024-02-02 21:05:40', 'IP属地': '湖北', '评论内容': '晚上我也在这个地方看到一个面包车打滑上不去，后来两个人在后面推上去了'}
{'评论时间': '2024-02-02 18:04:23', 'IP属地': '河北', '评论内容': '这车一看就是前驱的，我说的对吧'}
{'评论时间': '2024-02-02 20:35:41', 'IP属地': '湖北', '评论内容': '早上着急上班铲了个缝'}
{'评论时间': '2024-02-02 17:39:07', 'IP属地': '安徽', '评论内容': '后轱辘不转，前轱辘转'}
{'评论时间': '2024-02-02 16:24:09', 'IP属地': '广东', '评论内容': '还好没留武汉，我现在在广东穿短袖'}
{'评论时间': '2024-02-02 20:06:48', 'IP属地': '湖南', '评论内容': '冰雨就是刘德华唱的冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-02 18:38:54', 'IP属地': '湖南', '评论内容': '比亚迪雪地模式懂得'}
{'评论时间': '2024-02-02 15:00:39', 'IP属地': '湖北', '评论内容': '走路的交警都比这跑得快'}
{'评论时间': '2024-02-02 17:26:15', 'IP属地': '江苏', '评论内容': '轻踩油门'}
{'评论时间': '2024-02-02 21:23:04', 'IP属地': '湖南', '评论内容': '这车要是这速度的话，我走路都比他快'}
{'评论时间': '2024-02-02 20:21:10', 'IP属地': '湖北', '评论内容': '这是我们湖北的特产'}
{'评论时间': '2024-02-02 19:06:28', 'IP属地': '湖北', '评论内容': '后轱辘不转前轱辘转，思密达。'}
{'评论时间': '2024-02-02 19:42:38', 'IP属地': '湖北', '评论内容': '后轱辘不转前轱辘转'}
{'评论时间': '2024-02-02 20:44:49', 'IP属地': '湖北', '评论内容': '我也在武汉我咋没看见'}
{'评论时间': '2024-02-02 20:01:32', 'IP属地': '湖北', '评论内容': '我武汉人，冬天本来就都很冷不然怎么叫冬天，身边的基本家里都会有暖气呀，不明白你们为什么都在抖音上喊冷但就是不愿意在家里装暖气'}
{'评论时间': '2024-02-02 22:06:42', 'IP属地': '陕西', '评论内容': '武汉是我出社会这么多年，呆过最冷的城市。'}
{'评论时间': '2024-02-02 19:30:05', 'IP属地': '江苏', '评论内容': '这种天就不要开车了，走路或地铁或公交，实在不行能请假请假能居家办公就居家办公'}
{'评论时间': '2024-02-02 17:56:51', 'IP属地': '湖南', '评论内容': '看看我们湖南的也有呢'}
{'评论时间': '2024-02-02 21:16:15', 'IP属地': '湖北', '评论内容': '在武汉待了两天 冻傻了'}
{'评论时间': '2024-02-02 18:47:35', 'IP属地': '浙江', '评论内容': '摩擦生热把雪 融化'}
{'评论时间': '2024-02-02 14:36:22', 'IP属地': '湖北', '评论内容': '还好  我只起床刷牙洗脸又躺下了  没出门'}
{'评论时间': '2024-02-02 13:26:38', 'IP属地': '浙江', '评论内容': '冻雨膜贴全车多少钱'}
{'评论时间': '2024-02-02 16:47:23', 'IP属地': '四川', '评论内容': '百公里油耗100L'}
{'评论时间': '2024-02-02 18:03:57', 'IP属地': '湖北', '评论内容': '发动机和里程表找轮胎对了一晚上账都没算明白'}
{'评论时间': '2024-02-02 22:12:51', 'IP属地': '湖北', '评论内容': '难道我这不是湖北？暴雪没有，冻雨也没有'}
{'评论时间': '2024-02-02 18:30:41', 'IP属地': '湖北', '评论内容': '我在武汉怎么没看见'}
{'评论时间': '2024-02-02 13:46:27', 'IP属地': '广东', '评论内容': '这哪里是冻雨？这绝对是磨砂雨！'}
{'评论时间': '2024-02-02 15:41:50', 'IP属地': '安徽', '评论内容': '这就是刘德华的冰雨么'}
{'评论时间': '2024-02-02 17:28:19', 'IP属地': '湖北', '评论内容': '这一下全中国的人都知道冻雨是什么样子的了吧'}
{'评论时间': '2024-02-02 17:52:14', 'IP属地': '湖北', '评论内容': '带娃来武汉，昨天到的，冻得不行，本来预定后天撤，不行了不行了，明天就麻溜地撤了'}
{'评论时间': '2024-02-02 16:31:53', 'IP属地': '湖北', '评论内容': '下雪结冰车成了神经病'}
{'评论时间': '2024-02-02 14:55:28', 'IP属地': '四川', '评论内容': '为什么不装个防滑链'}
{'评论时间': '2024-02-02 22:39:54', 'IP属地': '湖北', '评论内容': '前驱抓地力低了，后驱虽然也打滑'}
{'评论时间': '2024-02-02 17:54:57', 'IP属地': '河南', '评论内容': '油耗增加了'}
{'评论时间': '2024-02-02 18:43:44', 'IP属地': '四川', '评论内容': '交警都无语'}
{'评论时间': '2024-02-02 15:46:18', 'IP属地': '湖北', '评论内容': '雨冻成冰，叫冻雨'}
{'评论时间': '2024-02-02 19:42:05', 'IP属地': '湖南', '评论内容': '这个车没有方向盘，只有油门'}
{'评论时间': '2024-02-02 19:22:39', 'IP属地': '湖北', '评论内容': '没下雪 真扫兴'}
{'评论时间': '2024-02-02 16:18:09', 'IP属地': '湖北', '评论内容': '这警察在看热闹'}
{'评论时间': '2024-02-02 19:10:23', 'IP属地': '湖北', '评论内容': '湖北的冻雨，冻到怀疑人生'}
{'评论时间': '2024-02-02 20:11:10', 'IP属地': '湖北', '评论内容': '盼了一个冬天的雪，结果盼来这冻雨'}
{'评论时间': '2024-02-02 15:58:32', 'IP属地': '湖北', '评论内容': '挂个三档油门柔和点加不就走了，'}
{'评论时间': '2024-02-02 21:18:19', 'IP属地': '湖北', '评论内容': '所以这才叫高冷'}
{'评论时间': '2024-02-02 13:57:52', 'IP属地': '湖北', '评论内容': '一盆热水就可以了，我早上就这么弄的'}
{'评论时间': '2024-02-02 23:01:12', 'IP属地': '湖北', '评论内容': '瞬间我明白啥是前驱了'}
{'评论时间': '2024-02-02 21:32:06', 'IP属地': '湖北', '评论内容': '刚过来又走了，太冷'}
{'评论时间': '2024-02-02 18:07:56', 'IP属地': '湖北', '评论内容': '你们说这出门的意义在哪里'}
{'评论时间': '2024-02-02 21:14:14', 'IP属地': '湖北', '评论内容': '湖北荆门'}
{'评论时间': '2024-02-02 23:16:37', 'IP属地': '黑龙江', '评论内容': '越加油越打滑'}
{'评论时间': '2024-02-02 19:46:47', 'IP属地': '湖北', '评论内容': '气温到零下，下雨成冰，叫冻雨'}
{'评论时间': '2024-02-02 17:59:20', 'IP属地': '湖北', '评论内容': '全湖北都在背着武汉下雪'}
{'评论时间': '2024-02-02 17:02:28', 'IP属地': '湖北', '评论内容': '就非得开车吗'}
{'评论时间': '2024-02-02 14:48:08', 'IP属地': '湖北', '评论内容': '百公里油耗200个'}
{'评论时间': '2024-02-02 19:08:43', 'IP属地': '江苏', '评论内容': '为什么冬天会下雪？？？'}
{'评论时间': '2024-02-02 17:28:44', 'IP属地': '浙江', '评论内容': '这样开车里程表跑200公里，实际只行驶200米'}
{'评论时间': '2024-02-02 16:07:28', 'IP属地': '湖北', '评论内容': '昨晚我车停在路边，早上车门被冻住了打不开，眼看上班马上就要迟到了，急得我团团转，我灵机一动看路上没人就撒泡尿上去马上打开了'}
{'评论时间': '2024-02-02 17:23:42', 'IP属地': '安徽', '评论内容': '是里程表出了轨还是油量劈了腿'}
{'评论时间': '2024-02-02 17:29:32', 'IP属地': '江苏', '评论内容': '但凡不踩油门就走了'}
{'评论时间': '2024-02-02 18:58:27', 'IP属地': '湖北', '评论内容': '踩油门没用的'}
{'评论时间': '2024-02-02 22:17:18', 'IP属地': '湖北', '评论内容': '油耗每百公里50吨，不会再多了'}
{'评论时间': '2024-02-02 17:21:29', 'IP属地': '广东', '评论内容': '这要是交警抓车也没法跑'}
{'评论时间': '2024-02-02 17:01:15', 'IP属地': '湖南', '评论内容': '湖南也是这样了'}
{'评论时间': '2024-02-02 19:51:29', 'IP属地': '河南', '评论内容': '小油门不能走啊  '}
{'评论时间': '2024-02-02 14:35:52', 'IP属地': '湖北', '评论内容': '冻雨'}
{'评论时间': '2024-02-02 22:13:19', 'IP属地': '河南', '评论内容': '你们发现没有，雪只在冬天下，人只有饿了才去吃饭，好神奇哎'}
{'评论时间': '2024-02-02 20:33:40', 'IP属地': '河南', '评论内容': '油门踩到底'}
{'评论时间': '2024-02-02 16:40:57', 'IP属地': '湖北', '评论内容': '树叶挂凌，还的地面积水！天上下雨！三样缺一不可！武汉就是高冷！'}
{'评论时间': '2024-02-02 17:26:11', 'IP属地': '安徽', '评论内容': '我们昨天下了这样的冻雨又下了大雪'}
{'评论时间': '2024-02-02 15:22:20', 'IP属地': '湖北', '评论内容': '湖北宜昌的冻雨'}
{'评论时间': '2024-02-02 18:26:30', 'IP属地': '河南', '评论内容': '油门踩太轻了，再重点就能走'}
{'评论时间': '2024-02-02 22:19:18', 'IP属地': '湖北', '评论内容': '4号冻雨正好回家，不会回不去了吧'}
{'评论时间': '2024-02-02 18:51:41', 'IP属地': '重庆', '评论内容': '前轱辘转后轱辘不转。'}
{'评论时间': '2024-02-02 22:05:51', 'IP属地': '湖北', '评论内容': '今天早上车门打不开了'}
{'评论时间': '2024-02-02 22:47:56', 'IP属地': '湖北', '评论内容': '这算不算湖北特产'}
{'评论时间': '2024-02-02 18:33:15', 'IP属地': '新疆', '评论内容': '怠速慢慢起步，左右打方向！'}
{'评论时间': '2024-02-02 21:22:32', 'IP属地': '湖北', '评论内容': '难道我不是湖北的吗，坐标武汉'}
{'评论时间': '2024-02-02 19:50:50', 'IP属地': '湖北', '评论内容': '来来来，看看我们湖北的雪'}
{'评论时间': '2024-02-02 18:45:10', 'IP属地': '辽宁', '评论内容': '这天气最好的方法是大家都拉好车距然后争取都不停车，让车一直缓慢行驶，但是这种情况是不可能的'}
{'评论时间': '2024-02-02 17:53:33', 'IP属地': '湖北', '评论内容': '我也发个，这个湖北叫做什么'}
{'评论时间': '2024-02-02 20:23:58', 'IP属地': '江苏', '评论内容': '天太冷了，速冻'}
{'评论时间': '2024-02-02 16:46:32', 'IP属地': '湖北', '评论内容': '这应该是停在外面变成这样的吧？不可能边开车边冰冻吧'}
{'评论时间': '2024-02-02 15:44:29', 'IP属地': '湖北', '评论内容': '冻雨'}
{'评论时间': '2024-02-02 18:07:32', 'IP属地': '广东', '评论内容': '为啥恶劣天气还要开车？？想不通'}
{'评论时间': '2024-02-02 16:57:39', 'IP属地': '山东', '评论内容': '这一看就是没见过雪的司机，北方哪有这样踩的，越摩擦越光滑'}
{'评论时间': '2024-02-02 23:15:01', 'IP属地': '湖北', '评论内容': '开雪地模式啊'}
{'评论时间': '2024-02-02 20:30:47', 'IP属地': '湖南', '评论内容': '明天我们也能见到冻雨了'}
{'评论时间': '2024-02-02 22:39:15', 'IP属地': '湖北', '评论内容': '比下雪还冷 神烦'}
{'评论时间': '2024-02-02 19:36:32', 'IP属地': '湖北', '评论内容': '前驱不行啊'}
{'评论时间': '2024-02-02 19:06:37', 'IP属地': '湖北', '评论内容': '我出门是乐尼玛'}
{'评论时间': '2024-02-02 20:00:30', 'IP属地': '湖南', '评论内容': '还好我从荆门到湖南回得早'}
{'评论时间': '2024-02-02 16:39:44', 'IP属地': '湖北', '评论内容': '听过刘德华的冰雨算不算'}
{'评论时间': '2024-02-02 23:09:49', 'IP属地': '广东', '评论内容': '那年在高速上堵着，油耗没了'}
{'评论时间': '2024-02-02 19:04:20', 'IP属地': '湖北', '评论内容': '那不叫下冻雨，那叫下另(凌)，树上接的叫另(凌)冰'}
{'评论时间': '2024-02-02 16:28:31', 'IP属地': '湖北', '评论内容': '真正高冷的是雪，就是不让见'}
{'评论时间': '2024-02-02 16:46:50', 'IP属地': '新疆', '评论内容': '发现天气预报说哪天下雪，哪天下冻雨，并且雪地胎或防滑链都不安，这些车主就哪天一定要出发，一定要玩个刺激'}
{'评论时间': '2024-02-02 18:02:37', 'IP属地': '湖北', '评论内容': '越打滑越小油门，'}
{'评论时间': '2024-02-02 15:36:31', 'IP属地': '广东', '评论内容': '突然让我想到一首歌，摩擦~摩擦~在光滑的地上摩擦~ '}
{'评论时间': '2024-02-02 17:51:19', 'IP属地': '广东', '评论内容': '百公里一箱油'}
{'评论时间': '2024-02-02 17:40:52', 'IP属地': '湖北', '评论内容': '轮胎:我上次这样转还是年检上线的时候'}
{'评论时间': '2024-02-02 17:13:42', 'IP属地': '湖北', '评论内容': '如果不是交警怕摔跤，肯定想从屁股踹一脚'}
{'评论时间': '2024-02-02 15:44:07', 'IP属地': '湖北', '评论内容': '越快越打滑'}
{'评论时间': '2024-02-02 19:01:08', 'IP属地': '江苏', '评论内容': '油门越大越打滑，一定要小油门，方向盘左右打'}
{'评论时间': '2024-02-02 18:12:58', 'IP属地': '湖北', '评论内容': '黄冈的，闺女天天盯着天气预报，看什么时候能下雪，感觉比过年的红包还执着'}
{'评论时间': '2024-02-02 19:18:48', 'IP属地': '黑龙江', '评论内容': '别给大油门行不'}
{'评论时间': '2024-02-02 16:53:57', 'IP属地': '河南', '评论内容': '会不会开车'}
{'评论时间': '2024-02-02 19:31:50', 'IP属地': '湖北', '评论内容': '这次为交警点赞'}
{'评论时间': '2024-02-02 19:51:42', 'IP属地': '河南', '评论内容': '这几天百公里可能得好几箱油？'}
{'评论时间': '2024-02-02 22:25:57', 'IP属地': '安徽', '评论内容': '80年左右下冻雨，我们追斑鸠、喜鹊……'}
{'评论时间': '2024-02-02 19:33:21', 'IP属地': '湖北', '评论内容': '这是刘德华的冰雨'}
{'评论时间': '2024-02-02 18:03:39', 'IP属地': '河北', '评论内容': '这要是轮胎抓地抓实了，不定冲哪儿去呢'}
{'评论时间': '2024-02-02 18:33:54', 'IP属地': '湖北', '评论内容': '天门还真下冻雨，我们黄冈这边没下'}
{'评论时间': '2024-02-02 18:40:02', 'IP属地': '宁夏', '评论内容': '一看就是新手小白，这样越加油越容易打滑要么就是刹不住车，挂s1档低油门，抓地力又好又容易控车'}
{'评论时间': '2024-02-02 15:54:19', 'IP属地': '浙江', '评论内容': '搞不懂了以前非典知道消毒，下雪知道撒盐，现在是咋回事儿'}
{'评论时间': '2024-02-02 19:54:34', 'IP属地': '湖北', '评论内容': '这不得百公里一个加油站啊'}
{'评论时间': '2024-02-02 19:00:12', 'IP属地': '广东', '评论内容': '有没有跟我一样的第一次听说下冻雨，头一次听这个词'}
{'评论时间': '2024-02-02 20:40:10', 'IP属地': '湖南', '评论内容': '龟速行驶，罚他'}
{'评论时间': '2024-02-02 19:46:01', 'IP属地': '广东', '评论内容': '这里程表和发动机对了一夜的账，都对不上账！'}
{'评论时间': '2024-02-02 15:03:30', 'IP属地': '湖北', '评论内容': '看了半天，后面突然出来个警察，该不该笑搞不会了'}
{'评论时间': '2024-02-02 15:27:02', 'IP属地': '湖北', '评论内容': '百个油耗1公里'}
{'评论时间': '2024-02-02 23:17:21', 'IP属地': '湖北', '评论内容': '湖北现在冷死人'}
{'评论时间': '2024-02-02 12:45:39', 'IP属地': '湖北', '评论内容': '早上浇了二桶热水才解决'}
