{'评论时间': '2024-02-09 17:01:39', 'IP属地': '安徽', '评论内容': '感动了'}
{'评论时间': '2024-02-09 15:41:37', 'IP属地': '重庆', '评论内容': '你停在室外'}
{'评论时间': '2024-02-09 19:46:45', 'IP属地': '湖北', '评论内容': '不过在除雪第一线的志愿者真是辛苦，给他们点个赞'}
{'评论时间': '2024-02-09 01:35:05', 'IP属地': '辽宁', '评论内容': '这么干，我有点担心液压缸'}
{'评论时间': '2024-02-09 22:00:00', 'IP属地': '黑龙江', '评论内容': '在湖北堵了20多小时！'}
{'评论时间': '2024-02-09 22:22:52', 'IP属地': '重庆', '评论内容': '湖北人民真热情'}
{'评论时间': '2024-02-09 22:53:37', 'IP属地': '山西', '评论内容': '我爸爸是大车司机，云南拉货到湖北，因为天气在湖北耽搁了几天，今天安全到家啦'}
{'评论时间': '2024-02-09 13:09:08', 'IP属地': '湖北', '评论内容': '湘湘，注意保暖 没事别往高速上跑去除冰 身体重要别感冒了'}
{'评论时间': '2024-02-09 10:20:23', 'IP属地': '甘肃', '评论内容': '可爱的警察叔叔'}
{'评论时间': '2024-02-09 00:34:37', 'IP属地': '四川', '评论内容': '让我玩会儿哥 从小没见过这么多雪'}
{'评论时间': '2024-02-09 09:17:31', 'IP属地': 'IP未知', '评论内容': '真倔'}
{'评论时间': '2024-02-09 15:00:15', 'IP属地': '江西', '评论内容': '湖北兄弟不懂就别瞎说了'}
{'评论时间': '2024-02-09 01:08:11', 'IP属地': '湖北', '评论内容': '湖北不要陷入自证了  有什么必要让每个人都满意？他们爱说就让他们说啊  反正也不会掉块肉  喷子也不能发个财   紧他们克撒'}
{'评论时间': '2024-02-09 00:08:10', 'IP属地': '河南', '评论内容': '本来我就要信了，一看到河南高速的情况，我又表示怀疑'}
{'评论时间': '2024-02-09 19:10:19', 'IP属地': '上海', '评论内容': '你这是雪压实了姑娘'}
{'评论时间': '2024-02-09 12:19:37', 'IP属地': '辽宁', '评论内容': '到目前为止没哭过几次，被湖北的人民感动哭了，为湖北人民点赞'}
{'评论时间': '2024-02-09 02:26:04', 'IP属地': '湖北', '评论内容': '这条视频能出省吗'}
{'评论时间': '2024-02-09 15:58:02', 'IP属地': '四川', '评论内容': '经实地体验确实滑  这次就不罚款了 屁股庝开不到单'}
{'评论时间': '2024-02-09 06:52:17', 'IP属地': '广东', '评论内容': '小米14'}
{'评论时间': '2024-02-09 18:10:33', 'IP属地': '广西', '评论内容': '美呆了'}
{'评论时间': '2024-02-09 09:56:47', 'IP属地': '湖南', '评论内容': '老表抱抱'}
{'评论时间': '2024-02-09 14:33:47', 'IP属地': '广东', '评论内容': '加油'}
{'评论时间': '2024-02-09 09:23:56', 'IP属地': '湖北', '评论内容': '我在黄石毛都没见到'}
{'评论时间': '2024-02-09 00:29:49', 'IP属地': '天津', '评论内容': '古惑仔里都说过：你不会让雨刷器闪啊？'}
{'评论时间': '2024-02-09 19:51:17', 'IP属地': '山东', '评论内容': '嗯嗯，辛苦了'}
{'评论时间': '2024-02-09 16:19:53', 'IP属地': '北京', '评论内容': '隐藏的门把手？这款车在长江以北基本上是卖不动了！'}
{'评论时间': '2024-02-09 01:02:38', 'IP属地': '海南', '评论内容': '刚才看到几个这样的评论，下着雪怎么铲？难道顶着风雪出门铲雪吗？你们咋不去铲，我点开评论准备留言的，写了一大串，最后还是删掉了，算了，多一事不如少一事，免得又给我科普！真给我看懵逼了，头一次听说非要雪停了才能铲雪的，难怪冻上了，还要给人科普冻雨'}
{'评论时间': '2024-02-09 16:59:58', 'IP属地': '陕西', '评论内容': '实在没想到'}
{'评论时间': '2024-02-09 10:58:15', 'IP属地': '湖北', '评论内容': '《冻雨历险记》'}
{'评论时间': '2024-02-09 01:21:58', 'IP属地': '广东', '评论内容': '互帮'}
{'评论时间': '2024-02-09 19:33:50', 'IP属地': '江西', '评论内容': '我们这边就下了'}
{'评论时间': '2024-02-09 00:41:21', 'IP属地': '湖南', '评论内容': '这是我家树'}
{'评论时间': '2024-02-09 12:20:09', 'IP属地': '吉林', '评论内容': '冻起来的雨，那叫冰雹！'}
{'评论时间': '2024-02-09 11:18:06', 'IP属地': '广东', '评论内容': '四杀'}
{'评论时间': '2024-02-09 22:26:11', 'IP属地': '江苏', '评论内容': '加油啊'}
{'评论时间': '2024-02-09 10:03:31', 'IP属地': '湖北', '评论内容': '我昨天早上才知道湖北被喷，菜地没防备的都毁了，树枝都被压断了，但昨天下午基本上路上就没雪和冰了，都可以正常通行了，但还是有点危险的，因为冰化冰锥都在往下掉，很多车都在大桥下受难了'}
{'评论时间': '2024-02-09 00:51:56', 'IP属地': '福建', '评论内容': '你别动，等我过去给你铲…'}
{'评论时间': '2024-02-09 08:39:29', 'IP属地': '新疆', '评论内容': '2024年新科普:原来只有湖北有冻雨'}
{'评论时间': '2024-02-09 14:42:45', 'IP属地': '山东', '评论内容': '我们山东，今天晚上下雪，明天一早扫雪车就满大街了窜了，不会等它压实了，不给它变结实的时间。湖北加油'}
{'评论时间': '2024-02-09 09:54:24', 'IP属地': '山东', '评论内容': '在等等，在下两天在冻两天等他一米厚的时候是不是说下的冻块'}
{'评论时间': '2024-02-09 15:39:47', 'IP属地': '山西', '评论内容': '人民，人民子弟兵都是最可爱的人！'}
{'评论时间': '2024-02-09 20:40:28', 'IP属地': '四川', '评论内容': '还爆装备了'}
{'评论时间': '2024-02-09 11:50:39', 'IP属地': '江西', '评论内容': '对不住了，交警叔叔，我不是有意笑出声来的'}
{'评论时间': '2024-02-09 12:28:41', 'IP属地': '广东', '评论内容': '什么冻雨，实实在在雨来雪这是正常现象'}
{'评论时间': '2024-02-09 17:35:34', 'IP属地': '湖北', '评论内容': '昨天去吃早餐，经过时听到说莲藕12/斤，我以为听错了'}
{'评论时间': '2024-02-09 00:11:50', 'IP属地': '浙江', '评论内容': '警察叔叔好热心，好齐心啊'}
{'评论时间': '2024-02-09 02:25:48', 'IP属地': '陕西', '评论内容': '我觉得车可以发明解冻功能'}
{'评论时间': '2024-02-09 00:08:09', 'IP属地': '新疆', '评论内容': '对对对，我们大西北没见过，冻雨只有你们那里有，我们处理冰雪的经验不足，还得湖南湖北多教教我们'}
{'评论时间': '2024-02-09 00:52:10', 'IP属地': '湖北', '评论内容': '什么是冰，有没有人知道？'}
{'评论时间': '2024-02-09 04:30:05', 'IP属地': '山东', '评论内容': '这个状况确实没见过有点吓人啊'}
{'评论时间': '2024-02-09 10:16:00', 'IP属地': '上海', '评论内容': '这神同步绝了'}
{'评论时间': '2024-02-09 02:47:18', 'IP属地': '内蒙古', '评论内容': '朴实无华的华夏儿女'}
{'评论时间': '2024-02-09 11:52:47', 'IP属地': '河南', '评论内容': '不是冻雨懂得界线！而是这几天上班有三倍工资'}
{'评论时间': '2024-02-09 00:01:57', 'IP属地': '安徽', '评论内容': '这次暴雪看清了很多听不懂话的杠精'}
{'评论时间': '2024-02-09 00:44:07', 'IP属地': '辽宁', '评论内容': '你这小铲子真的没啥用'}
{'评论时间': '2024-02-09 09:40:19', 'IP属地': '河北', '评论内容': '我也笑了就是不知道我在笑什么了'}
{'评论时间': '2024-02-09 14:03:16', 'IP属地': '河南', '评论内容': '不好意思，我愣是看了十几遍'}
{'评论时间': '2024-02-09 00:26:29', 'IP属地': '辽宁', '评论内容': '大哥 还是你先别说了 挺丢脸 有点属于无知的程度了'}
{'评论时间': '2024-02-09 00:09:26', 'IP属地': '福建', '评论内容': '福建看到了'}
{'评论时间': '2024-02-09 08:18:17', 'IP属地': '河北', '评论内容': '一千多张照片压缩成十秒？？'}
{'评论时间': '2024-02-09 11:06:34', 'IP属地': '黑龙江', '评论内容': '冻雨到底是怎么成冰的，是直接下冰块吗'}
{'评论时间': '2024-02-09 03:00:47', 'IP属地': '湖南', '评论内容': '怎么撒盐'}
{'评论时间': '2024-02-09 01:30:16', 'IP属地': '河北', '评论内容': '。。。直接录个视频不好吗'}
{'评论时间': '2024-02-09 11:11:14', 'IP属地': '浙江', '评论内容': '别怕浙浙保护你们'}
{'评论时间': '2024-02-09 18:27:08', 'IP属地': '中国澳门', '评论内容': '湖北路政是就是厉害，我试过年初二，从神龙架到武当山的国道全是溜冰场级别的路面'}
{'评论时间': '2024-02-09 06:38:48', 'IP属地': '辽宁', '评论内容': '前些年有一次冻雨特别严重，单位停车场碗口粗的柳树压折了，刚好砸到了劳资新买的车后挡风上，喜提一块新挡风，加后备箱盖'}
{'评论时间': '2024-02-09 02:39:49', 'IP属地': '新疆', '评论内容': '新疆是南方城市'}
{'评论时间': '2024-02-09 09:40:26', 'IP属地': '河南', '评论内容': '我们北方人没见过'}
{'评论时间': '2024-02-09 00:17:21', 'IP属地': '湖北', '评论内容': '堵了的，给指条明路'}
{'评论时间': '2024-02-09 08:47:42', 'IP属地': '青海', '评论内容': '屎糊屁股上才怪屎不好擦'}
{'评论时间': '2024-02-09 11:07:45', 'IP属地': '河南', '评论内容': '嘴最硬的地区出现了'}
{'评论时间': '2024-02-09 02:43:53', 'IP属地': '湖北', '评论内容': '最重要的……湖北武汉…属于南方…'}
{'评论时间': '2024-02-09 07:00:49', 'IP属地': '湖北', '评论内容': '我自己种的栀子花树都被压趴了不过昨天冰化了，还好没有被压死'}
{'评论时间': '2024-02-09 00:58:28', 'IP属地': '广东', '评论内容': '可以借我玩玩吗'}
{'评论时间': '2024-02-09 01:37:06', 'IP属地': '新疆', '评论内容': '我们乌市都是边下雪，边扫雪，大型机械全上，环卫工连夜扫很辛苦'}
{'评论时间': '2024-02-09 01:51:30', 'IP属地': '湖北', '评论内容': '你为啥把车开到菜苔上把雪压实了'}
{'评论时间': '2024-02-09 05:12:40', 'IP属地': '山东', '评论内容': '我就想知道，哥们前挡风玻璃上擦的什么这么让水珠这么丝滑？我买过去油膜的，还有镀膜的，好几种，过不了多久就没有效果了'}
{'评论时间': '2024-02-09 12:00:41', 'IP属地': '河北', '评论内容': '这个把手，出门建议带杯热水或者玻璃水'}
{'评论时间': '2024-02-09 07:14:19', 'IP属地': '山东', '评论内容': '着 分明是清理不及时 车压后冻的雪    冻雨呵呵'}
{'评论时间': '2024-02-09 06:52:47', 'IP属地': '江苏', '评论内容': '大爱'}
{'评论时间': '2024-02-09 10:34:03', 'IP属地': '江苏', '评论内容': '好恐怖的冻雨'}
{'评论时间': '2024-02-09 09:53:09', 'IP属地': '湖北', '评论内容': '喷子们说那是没有提前撒盐的'}
{'评论时间': '2024-02-09 07:07:01', 'IP属地': '河南', '评论内容': '我们这下了一晚上，上午接这下，我请了一天假，下午雪停了，往外一看路上有的地方都快干了，我还怎么请假'}
{'评论时间': '2024-02-09 06:10:01', 'IP属地': '山东', '评论内容': '这车烧机油吗'}
{'评论时间': '2024-02-09 10:24:03', 'IP属地': '湖北', '评论内容': '骂了鄂鄂就别骂湘湘了哦'}
{'评论时间': '2024-02-09 19:48:25', 'IP属地': '安徽', '评论内容': '就问他三个摔的疼不疼'}
{'评论时间': '2024-02-09 12:04:09', 'IP属地': '四川', '评论内容': '麻烦湖北的朋友别科普冻雨了，看看你们本地程力集团是干啥的'}
{'评论时间': '2024-02-09 00:01:59', 'IP属地': '河北', '评论内容': '就是在评论区留言说方法说好话我都会被湖北的某些兄弟们无差别攻击，真挺想不明白的'}
{'评论时间': '2024-02-09 09:37:50', 'IP属地': '甘肃', '评论内容': '请不要道德绑架，极端的天气给救援增加了极大的困难。湖北的村名是楷模，也是国人学习的榜样'}
{'评论时间': '2024-02-09 02:05:51', 'IP属地': '辽宁', '评论内容': '这玩意在东北不就是雨夹雪后降温出现的太正常不过的事了么'}
{'评论时间': '2024-02-09 00:21:33', 'IP属地': '辽宁', '评论内容': '东北都会在下雪时候给车罩上'}
{'评论时间': '2024-02-09 07:44:58', 'IP属地': '河南', '评论内容': '这可咋整'}
{'评论时间': '2024-02-09 16:48:03', 'IP属地': '湖北', '评论内容': '让那些骂我们的自己滚来把路舔干净，自己不会想办法么，全依赖我们的交警，人家也不可能飞过来啊，有脑子吗'}
{'评论时间': '2024-02-09 00:31:40', 'IP属地': '黑龙江', '评论内容': '身在大兴安岭什么样的雪没见过。这是怎么形成的我笑了'}
{'评论时间': '2024-02-09 00:05:37', 'IP属地': '河南', '评论内容': '冬雨＝犟雨'}
{'评论时间': '2024-02-09 00:25:50', 'IP属地': '上海', '评论内容': '太感谢博主'}
{'评论时间': '2024-02-09 19:45:54', 'IP属地': '山东', '评论内容': '武汉疫情的时候全国人民心系武汉，各种支援物资一车一车免费送，自掏腰包油费过路费，山东送菜一波接一波，结果现在人家高速堵了市民去高速做生意去了，不过免费得也很多，但还是被做生意的破坏了形象'}
{'评论时间': '2024-02-09 09:17:01', 'IP属地': '湖北', '评论内容': '我那天在路上看花坛里雪有点厚，想帮忙抖抖，但是……根本抖不动，纹丝不动，都是冰坨子'}
{'评论时间': '2024-02-09 06:03:01', 'IP属地': '河北', '评论内容': '仨省调拨六万件棉被棉服'}
{'评论时间': '2024-02-09 02:17:18', 'IP属地': '湖北', '评论内容': '那个啥，隔壁的，你们真会找存在感了，吃饱了没事干，炒一下，再翻个面晒，真是闲的无聊，'}
{'评论时间': '2024-02-09 00:45:56', 'IP属地': '山东', '评论内容': '还是这个好用'}
{'评论时间': '2024-02-09 05:37:55', 'IP属地': '山东', '评论内容': '湖北的，是真懒啊'}
{'评论时间': '2024-02-09 00:12:25', 'IP属地': '贵州', '评论内容': '仗义多少屠狗辈……负心'}
{'评论时间': '2024-02-09 05:43:43', 'IP属地': '河南', '评论内容': '不弄完看着真难受'}
{'评论时间': '2024-02-09 11:50:53', 'IP属地': '湖北', '评论内容': '你这是在夸湖北还是要我跟你点赞，你这讲的真好，你可以当政委'}
{'评论时间': '2024-02-09 10:58:28', 'IP属地': '浙江', '评论内容': '走路都走不稳是怎么当交警的'}
{'评论时间': '2024-02-09 00:35:34', 'IP属地': '新疆', '评论内容': '不应该浇温水嘛'}
{'评论时间': '2024-02-09 11:52:48', 'IP属地': '上海', '评论内容': '这不是也有法'}
{'评论时间': '2024-02-09 15:05:33', 'IP属地': '北京', '评论内容': '高大上'}
{'评论时间': '2024-02-09 11:50:01', 'IP属地': '山东', '评论内容': '不是雨夹雪是冻雨'}
{'评论时间': '2024-02-09 08:28:47', 'IP属地': '江苏', '评论内容': '在晚点都自己融化了'}
{'评论时间': '2024-02-09 00:36:08', 'IP属地': '湖北', '评论内容': '喷子们，怎么不洒盐'}
{'评论时间': '2024-02-09 06:17:28', 'IP属地': '山东', '评论内容': '冰冻真厚啊！除冰象刨石头，辛苦了'}
{'评论时间': '2024-02-09 08:07:55', 'IP属地': '吉林', '评论内容': '这帮人是不当时吵吵着在冰雪大世界要退票的人啊'}
{'评论时间': '2024-02-09 08:08:16', 'IP属地': '湖北', '评论内容': '我们学校的树全倒了，陪了我六年的树在毕业那年都断了，学校的雪比外面化的要晚很多，真的每天路过都想进去抓一把雪'}
{'评论时间': '2024-02-09 08:18:37', 'IP属地': '安徽', '评论内容': '冻雨是什么'}
{'评论时间': '2024-02-09 05:18:20', 'IP属地': '广西', '评论内容': '这车的门拔手不知道是进步了，还是退步了'}
{'评论时间': '2024-02-09 07:19:22', 'IP属地': '河南', '评论内容': '这不是雨夹雪吗'}
{'评论时间': '2024-02-09 01:39:30', 'IP属地': '河南', '评论内容': '哎……'}
{'评论时间': '2024-02-09 21:45:14', 'IP属地': '广西', '评论内容': '每个车放一升油出来能解决问题吗'}
{'评论时间': '2024-02-09 07:48:57', 'IP属地': '山东', '评论内容': '70后都懂，不打扫6月份就化了'}
{'评论时间': '2024-02-09 08:23:51', 'IP属地': '上海', '评论内容': '湖北棒棒的，你们辛苦了'}
{'评论时间': '2024-02-09 02:18:51', 'IP属地': '北京', '评论内容': '这个多转发'}
{'评论时间': '2024-02-09 10:51:59', 'IP属地': '山东', '评论内容': '最佳搭配！'}
{'评论时间': '2024-02-09 05:25:18', 'IP属地': '河南', '评论内容': '找专家啊'}
{'评论时间': '2024-02-09 18:31:17', 'IP属地': '山东', '评论内容': '那个...交警滑倒那个画面非放不可吗，本来我挺伤感的'}
{'评论时间': '2024-02-09 15:32:06', 'IP属地': '河南', '评论内容': '你的远程控制是干啥使的'}
{'评论时间': '2024-02-09 01:03:33', 'IP属地': '北京', '评论内容': '中国啥都缺，就不缺自私自利的喷子，就算你做的再好，这群喷子也不买账还是无脑喷'}
{'评论时间': '2024-02-09 07:00:27', 'IP属地': '山东', '评论内容': '好科普'}
{'评论时间': '2024-02-09 11:25:51', 'IP属地': '山东', '评论内容': '湖北这次把东北人都整不会了'}
{'评论时间': '2024-02-09 07:15:42', 'IP属地': '河南', '评论内容': '哇，十秒钟这么厚。'}
{'评论时间': '2024-02-09 00:09:41', 'IP属地': '辽宁', '评论内容': '你就瞎说 冻雨只有湖北有'}
{'评论时间': '2024-02-09 01:17:35', 'IP属地': '江苏', '评论内容': '我发现这个评论区，好多河南的地址阴阳怪气啊？啥情况啊'}
{'评论时间': '2024-02-09 13:51:01', 'IP属地': '上海', '评论内容': '这尺寸是老天爷设计好尺寸 地域 直接嘭！从天上落下的'}
{'评论时间': '2024-02-09 07:57:29', 'IP属地': '山东', '评论内容': '雨刷器刮一下犯法嘛'}
{'评论时间': '2024-02-09 01:11:34', 'IP属地': '山东', '评论内容': '不不不，冰再厚再硬，也不如你们嘴硬'}
{'评论时间': '2024-02-09 15:18:04', 'IP属地': '湖北', '评论内容': '为什么不换个品种？？？'}
{'评论时间': '2024-02-09 01:11:02', 'IP属地': '广东', '评论内容': '把这视频从头看到尾的是不是都是南方人'}
{'评论时间': '2024-02-09 17:30:22', 'IP属地': '山西', '评论内容': '不要再普及了，我头都大了'}
{'评论时间': '2024-02-09 08:18:16', 'IP属地': '黑龙江', '评论内容': '其实吧，湖北不是有特种车么，换个小锤头就行了'}
{'评论时间': '2024-02-09 16:45:29', 'IP属地': '广西', '评论内容': '中华人民共和国团结一心，中华民族团结一心'}
{'评论时间': '2024-02-09 02:08:36', 'IP属地': '山西', '评论内容': '山西没下过雪，谢谢科普'}
{'评论时间': '2024-02-09 13:50:34', 'IP属地': '湖北', '评论内容': '正能量必须支持'}
{'评论时间': '2024-02-09 00:08:51', 'IP属地': '福建', '评论内容': '想知道每天开车都得这样吗'}
{'评论时间': '2024-02-09 06:36:57', 'IP属地': '河北', '评论内容': '这个要是砸上坑，是修还是换？'}
{'评论时间': '2024-02-09 23:15:58', 'IP属地': '安徽', '评论内容': '哇哦，这也太美啦'}
{'评论时间': '2024-02-09 11:19:13', 'IP属地': '湖北', '评论内容': '湖北人从来不差事！'}
{'评论时间': '2024-02-09 10:46:35', 'IP属地': '湖北', '评论内容': '关关难过关关过 事事难成事事成'}
{'评论时间': '2024-02-09 08:47:10', 'IP属地': '黑龙江', '评论内容': '您这个小铲子，是不是加油送的？还是买车送的？总之不像买的'}
{'评论时间': '2024-02-09 10:46:09', 'IP属地': '海南', '评论内容': '在海南被湖北人温暖'}
{'评论时间': '2024-02-09 12:05:16', 'IP属地': '黑龙江', '评论内容': '不好意思，我没忍住'}
{'评论时间': '2024-02-09 00:33:48', 'IP属地': '山西', '评论内容': '哪儿的都比'}
{'评论时间': '2024-02-09 09:19:58', 'IP属地': '湖北', '评论内容': '车开树上压实了'}
{'评论时间': '2024-02-09 19:00:50', 'IP属地': '湖北', '评论内容': '车开上去压实了怎么抖下来'}
{'评论时间': '2024-02-09 18:31:27', 'IP属地': '辽宁', '评论内容': '上鸡毛路 门都开不开'}
{'评论时间': '2024-02-09 05:13:48', 'IP属地': '河南', '评论内容': '人家都科普几天了，看我口型这叫（冻雨）'}
{'评论时间': '2024-02-09 22:08:40', 'IP属地': '四川', '评论内容': '对不起，我不是故意笑的'}
{'评论时间': '2024-02-09 01:59:17', 'IP属地': '广东', '评论内容': '哥能不能给我寄点雪这辈子还没见过'}
{'评论时间': '2024-02-09 15:13:44', 'IP属地': '广东', '评论内容': '对对对就你那下冻雨 '}
{'评论时间': '2024-02-09 22:03:39', 'IP属地': '湖北', '评论内容': '好可怕，湖南加油'}
{'评论时间': '2024-02-09 16:29:23', 'IP属地': '湖北', '评论内容': '鄂了赣饭真湘，怎么冷的天，咱们烤火斗地主叭'}
{'评论时间': '2024-02-09 04:20:05', 'IP属地': '河南', '评论内容': '出警倒是快呢？'}
{'评论时间': '2024-02-09 15:37:39', 'IP属地': '四川', '评论内容': '不能浇开水吗'}
{'评论时间': '2024-02-09 06:51:28', 'IP属地': '山东', '评论内容': '别伤心湖北同胞'}
{'评论时间': '2024-02-09 01:19:12', 'IP属地': '河南', '评论内容': '河南看到了'}
{'评论时间': '2024-02-09 00:49:54', 'IP属地': '广东', '评论内容': '求你了哥，就让我刮一下吧'}
{'评论时间': '2024-02-09 00:21:09', 'IP属地': '辽宁', '评论内容': '湖北特产：官方解释'}
{'评论时间': '2024-02-09 07:53:05', 'IP属地': '湖北', '评论内容': '下的时候怎么不撒融雪剂'}
{'评论时间': '2024-02-09 15:51:44', 'IP属地': '浙江', '评论内容': '每次刷到因为寒冷天气被冻在路上的视频，我就很恨那些说今年是暖冬的气象专家。专家在2023年初的时候说因为全球变暖，今年会是有史以来最暖的一个冬天，特么的他们怎么不去高速上冻一下'}
{'评论时间': '2024-02-09 11:01:54', 'IP属地': '广西', '评论内容': '对不住了，交警叔叔，我不是有意笑出声来的'}
{'评论时间': '2024-02-09 11:33:25', 'IP属地': '贵州', '评论内容': '三顶帽子都落地了，建议骑行安全佩戴头盔，交警换装安全头盔'}
{'评论时间': '2024-02-09 15:49:50', 'IP属地': '河北', '评论内容': '正确定性冻雨的湖北'}
{'评论时间': '2024-02-09 11:25:11', 'IP属地': '山东', '评论内容': '早他妈的干啥去了'}
{'评论时间': '2024-02-09 08:48:05', 'IP属地': '新疆', '评论内容': '这不是冻雨，这是固化的…………'}
{'评论时间': '2024-02-09 14:26:10', 'IP属地': '上海', '评论内容': '我们小区有先见之明哈'}
{'评论时间': '2024-02-09 22:31:55', 'IP属地': '山东', '评论内容': '训练有素，就连摔倒都要统一'}
{'评论时间': '2024-02-09 00:57:39', 'IP属地': '河北', '评论内容': '河北冻雨'}
{'评论时间': '2024-02-09 06:50:36', 'IP属地': '黑龙江', '评论内容': '这算啥 在俺们东北尿尿都要拿个棍子'}
{'评论时间': '2024-02-09 13:17:21', 'IP属地': '贵州', '评论内容': '我就从河南回来，河南的雪虽然下的很大，但是都是很好铲的，凝冻根本铲不冻'}
{'评论时间': '2024-02-09 16:03:41', 'IP属地': '河南', '评论内容': '让你看看河南的冻雨'}
{'评论时间': '2024-02-09 14:31:49', 'IP属地': '山西', '评论内容': '哇偶，挖宝藏挖出来一台车'}
{'评论时间': '2024-02-09 00:26:09', 'IP属地': '贵州', '评论内容': '问你预案你讲危害'}
{'评论时间': '2024-02-09 22:07:38', 'IP属地': '上海', '评论内容': '买个车罩子就可以了'}
{'评论时间': '2024-02-09 21:38:40', 'IP属地': '湖北', '评论内容': '那几天每天下午停电我就知道这把高端局'}
{'评论时间': '2024-02-09 08:22:33', 'IP属地': '重庆', '评论内容': '夏天总会化再等等吧'}
{'评论时间': '2024-02-09 18:09:49', 'IP属地': '辽宁', '评论内容': '啧啧啧，这湖北的都来对我拍东北雪景的视频点评了，我就想问下边上就是路，它干不干净？'}
{'评论时间': '2024-02-09 22:03:54', 'IP属地': '湖北', '评论内容': '我们不嘴硬了，这是我们没有提前撒盐，没有提前撒融雪剂，没有提前清理，让车压实了，人踩实了的。谁让我们懒呢，不提前预防，也没有人24小时不停的铲雪'}
{'评论时间': '2024-02-09 18:41:26', 'IP属地': '新疆', '评论内容': '湖北没有铲车吗？五米几分钟？'}
{'评论时间': '2024-02-09 06:35:09', 'IP属地': '美国', '评论内容': '中华民族'}
{'评论时间': '2024-02-09 11:23:38', 'IP属地': '内蒙古', '评论内容': '四连跪'}
{'评论时间': '2024-02-09 11:53:26', 'IP属地': '河南', '评论内容': '24年最大的笑话了'}
{'评论时间': '2024-02-09 12:09:26', 'IP属地': '上海', '评论内容': '呃'}
{'评论时间': '2024-02-09 07:34:31', 'IP属地': '福建', '评论内容': '我姐夫新能源公司做了十来年高管，他自己家都是油车'}
{'评论时间': '2024-02-09 17:15:21', 'IP属地': '安徽', '评论内容': '这就是个垃圾设计'}
{'评论时间': '2024-02-09 08:11:29', 'IP属地': '黑龙江', '评论内容': '首先，你这个温度有问题'}
{'评论时间': '2024-02-09 21:56:59', 'IP属地': '湖北', '评论内容': '湖北明天温度18度'}
{'评论时间': '2024-02-09 10:02:17', 'IP属地': '山东', '评论内容': '有的湖北人说车铲不动'}
{'评论时间': '2024-02-09 01:11:17', 'IP属地': '北京', '评论内容': '武汉  冻雨'}
{'评论时间': '2024-02-09 06:12:47', 'IP属地': '河南', '评论内容': '河南也先下的冻雨'}
{'评论时间': '2024-02-09 14:48:24', 'IP属地': '湖北', '评论内容': '为什么不开地下车库呢'}
{'评论时间': '2024-02-09 08:08:18', 'IP属地': '湖北', '评论内容': '我这个有点微不足道了'}
{'评论时间': '2024-02-09 19:57:16', 'IP属地': '河北', '评论内容': '半扇猪呢'}
{'评论时间': '2024-02-09 22:08:09', 'IP属地': '甘肃', '评论内容': '磨洋工的'}
{'评论时间': '2024-02-09 06:48:21', 'IP属地': '吉林', '评论内容': '全国人民都看到了'}
{'评论时间': '2024-02-09 13:39:11', 'IP属地': '广东', '评论内容': '羊羔都用上了'}
{'评论时间': '2024-02-09 02:05:11', 'IP属地': '吉林', '评论内容': '对对对，我们东北人不懂“冻雨”，也确实没见过这么厚的冰！'}
{'评论时间': '2024-02-09 18:36:14', 'IP属地': '江苏', '评论内容': '我妈从苏州开车回宜都，原本预计15个小时，最后开了整整60个小时才到家'}
{'评论时间': '2024-02-09 09:40:16', 'IP属地': '黑龙江', '评论内容': '哈哈哈哈你就说省不省油吧'}
{'评论时间': '2024-02-09 08:57:12', 'IP属地': '广东', '评论内容': '冻雨！ 一开始以为是雨'}
{'评论时间': '2024-02-09 11:48:36', 'IP属地': '安徽', '评论内容': '请原谅我，我笑了'}
{'评论时间': '2024-02-09 00:40:33', 'IP属地': '山西', '评论内容': '我在半夜，居然看完了此视频！'}
{'评论时间': '2024-02-09 10:05:01', 'IP属地': '湖北', '评论内容': '难怪湿冷湿冷的，不过谢谢别的省'}
{'评论时间': '2024-02-09 14:10:42', 'IP属地': '江西', '评论内容': '谁敢说我老表 我把他打成折叠屏'}
{'评论时间': '2024-02-09 07:17:41', 'IP属地': '黑龙江', '评论内容': '这冰没嘴硬'}
{'评论时间': '2024-02-09 11:15:19', 'IP属地': '江苏', '评论内容': '忍不住热泪盈眶 '}
{'评论时间': '2024-02-09 04:27:41', 'IP属地': '江西', '评论内容': '我油车怠速0.6L一小时，我油箱65L，差不多可以点整整五天四夜'}
{'评论时间': '2024-02-09 08:51:15', 'IP属地': '河北', '评论内容': '那个交警小姐姐出名了'}
{'评论时间': '2024-02-09 06:53:20', 'IP属地': '云南', '评论内容': '这是什么雪呀？有点过分了吧！'}
{'评论时间': '2024-02-09 21:24:02', 'IP属地': '河南', '评论内容': '都在这里瞎扯蛋，这不就来活了吗。这不就来钱了吗？上报三倍工资实发就看领导烟酒透了没有。'}
{'评论时间': '2024-02-09 12:11:23', 'IP属地': '河南', '评论内容': '我们习以为常的事，你们当新闻来报道'}
{'评论时间': '2024-02-09 16:38:18', 'IP属地': '陕西', '评论内容': '看到的人，估计都有一乐吧'}
{'评论时间': '2024-02-09 14:35:56', 'IP属地': '贵州', '评论内容': '看了一圈评论知道为什么没有贵州人评论吗'}
