{'评论时间': '2024-02-03 22:47:23', 'IP属地': '湖北', '评论内容': '谁懂啊，东西湖又又又下冻雨了。'}
{'评论时间': '2024-02-03 20:10:48', 'IP属地': '河南', '评论内容': '湖北牛逼克拉斯'}
{'评论时间': '2024-02-03 21:08:04', 'IP属地': '山东', '评论内容': '打不开不要紧  驱动机构烧毁就麻烦了'}
{'评论时间': '2024-02-03 12:33:24', 'IP属地': '湖北', '评论内容': '在湖北叫结令'}
{'评论时间': '2024-02-03 10:55:46', 'IP属地': '福建', '评论内容': '你们有没有发现、汽车轮子都会转'}
{'评论时间': '2024-02-03 20:37:39', 'IP属地': '山东', '评论内容': '明天还有冬雨'}
{'评论时间': '2024-02-03 13:13:44', 'IP属地': '湖北', '评论内容': '早上出门去当卖火柴的小女孩了'}
{'评论时间': '2024-02-03 07:42:29', 'IP属地': '湖北', '评论内容': '湖北人们，咱们以前管冻雨叫下令子'}
{'评论时间': '2024-02-03 10:31:08', 'IP属地': '湖北', '评论内容': '我们湖北叫凛勾子'}
{'评论时间': '2024-02-03 09:32:52', 'IP属地': '四川', '评论内容': '这应该是刘德华歌里的：冷冷的冰雨'}
{'评论时间': '2024-02-03 19:17:54', 'IP属地': '河南', '评论内容': '这哪个天才设计的'}
{'评论时间': '2024-02-03 23:19:40', 'IP属地': '四川', '评论内容': '放一把火什么问题都解决了'}
{'评论时间': '2024-02-03 10:28:10', 'IP属地': '湖北', '评论内容': '坐标湖北，冰晶路面，哪里都是冰晶的'}
{'评论时间': '2024-02-03 15:56:40', 'IP属地': '河北', '评论内容': '相信高科技了吧'}
{'评论时间': '2024-02-03 13:27:47', 'IP属地': '湖北', '评论内容': '既然湖北文旅留不住你，那就让湖北高速来留下你'}
{'评论时间': '2024-02-03 09:01:38', 'IP属地': '山西', '评论内容': '有经验的城市会直接催雪  把冬雨变成暴雪'}
{'评论时间': '2024-02-03 08:04:26', 'IP属地': '湖北', '评论内容': '武汉今天早上一看外面下白了'}
{'评论时间': '2024-02-03 22:50:55', 'IP属地': '广东', '评论内容': '喂，老板今天要迟到了。我车门打不开'}
{'评论时间': '2024-02-03 20:55:13', 'IP属地': '浙江', '评论内容': '我7号杭州高铁回湖北，希望顺利'}
{'评论时间': '2024-02-03 23:03:53', 'IP属地': '湖北', '评论内容': '大武汉是牛逼'}
{'评论时间': '2024-02-03 17:57:31', 'IP属地': '湖北', '评论内容': '这场冻雨估计最高兴的就是武汉火车站周边的酒店，旅馆'}
{'评论时间': '2024-02-03 20:41:47', 'IP属地': '湖北', '评论内容': '随机捡取一位东北小娘们带回家过年，包吃包住！'}
{'评论时间': '2024-02-03 21:14:02', 'IP属地': '江西', '评论内容': '有哪些车用的是这种设计啊，我先做做功课，直接避雷，据我所知长安的univ就是'}
{'评论时间': '2024-02-03 23:30:51', 'IP属地': '湖北', '评论内容': '原来大武汉还有铲雪车呀'}
{'评论时间': '2024-02-03 12:12:36', 'IP属地': '湖北', '评论内容': '湖北人不怕冷，你们呆暖气里面呆习惯了'}
{'评论时间': '2024-02-03 10:40:57', 'IP属地': '湖北', '评论内容': '还好我没车，不然就和他一样了，哈哈哈'}
{'评论时间': '2024-02-03 00:02:15', 'IP属地': '新疆', '评论内容': '大家发现没有，为什么每年下雪都正好是冬天'}
{'评论时间': '2024-02-03 19:53:47', 'IP属地': '江苏', '评论内容': '少脑子人发明的把手'}
{'评论时间': '2024-02-03 22:16:40', 'IP属地': '湖北', '评论内容': '难怪我出门行车道都没雪 出门还慌死了，路面结冰咋办'}
{'评论时间': '2024-02-03 23:24:44', 'IP属地': '湖北', '评论内容': '武汉欢迎你们'}
{'评论时间': '2024-02-03 08:33:16', 'IP属地': '河南', '评论内容': '这冻雨一下能不开车还是别开车了地奔走吧'}
{'评论时间': '2024-02-03 17:11:30', 'IP属地': '湖北', '评论内容': '荆州'}
{'评论时间': '2024-02-03 20:44:12', 'IP属地': '浙江', '评论内容': '这设计估计是个雷区'}
{'评论时间': '2024-02-03 23:51:36', 'IP属地': '北京', '评论内容': '08年也是春节湖南湖北冻雨，然后昆明，然后512，一年都不太平，希望明年大家都平平安安顺顺利利'}
{'评论时间': '2024-02-03 16:41:47', 'IP属地': '江苏', '评论内容': '人家设计这个把手是为了跑车减少风阻'}
{'评论时间': '2024-02-03 09:17:12', 'IP属地': '湖北', '评论内容': '湖北叫淋珠子'}
{'评论时间': '2024-02-03 19:44:22', 'IP属地': '广东', '评论内容': '隐藏式把手开门的仪式果然不同凡响'}
{'评论时间': '2024-02-03 14:32:51', 'IP属地': '安徽', '评论内容': '这天气熊猫骑车也得摔倒'}
{'评论时间': '2024-02-03 18:48:40', 'IP属地': '辽宁', '评论内容': '被车门夹过的设计的'}
{'评论时间': '2024-02-03 17:31:12', 'IP属地': '河北', '评论内容': '越高级车越不实用'}
{'评论时间': '2024-02-03 21:37:38', 'IP属地': '湖北', '评论内容': '高铁 67 速度'}
{'评论时间': '2024-02-03 23:45:45', 'IP属地': '河南', '评论内容': '都开保时捷了还没个车库啊'}
{'评论时间': '2024-02-03 23:11:40', 'IP属地': '湖北', '评论内容': '名医都被冻雨整病了'}
{'评论时间': '2024-02-03 19:30:01', 'IP属地': '浙江', '评论内容': '现场尿一把试试，37度半应该有点用处的！'}
{'评论时间': '2024-02-03 16:24:50', 'IP属地': '湖北', '评论内容': '我们这会路过武汉，一路畅通'}
{'评论时间': '2024-02-03 23:54:47', 'IP属地': '河北', '评论内容': '越高级的东西越不实用就是这个原理'}
{'评论时间': '2024-02-03 18:31:49', 'IP属地': '广东', '评论内容': '没有车库'}
{'评论时间': '2024-02-03 10:45:22', 'IP属地': '湖北', '评论内容': '车门冻住开不了，用吹风机呢'}
{'评论时间': '2024-02-03 23:37:40', 'IP属地': '四川', '评论内容': '这把手防盗防自己人'}
{'评论时间': '2024-02-03 21:58:26', 'IP属地': '广东', '评论内容': '下雪时。拿个透明胶封住它。。'}
{'评论时间': '2024-02-03 22:11:55', 'IP属地': '湖北', '评论内容': '从此湖北又多了一个特产，冻雨'}
{'评论时间': '2024-02-03 01:02:50', 'IP属地': '湖北', '评论内容': '是哪个说如果武汉下雪，从长江大桥舔到佛祖岭的'}
{'评论时间': '2024-02-03 20:13:24', 'IP属地': '河南', '评论内容': '大雪天就不要出门了，容易找不到路'}
{'评论时间': '2024-02-03 20:07:46', 'IP属地': '湖北', '评论内容': '分两台来荆州'}
{'评论时间': '2024-02-03 18:13:07', 'IP属地': '湖南', '评论内容': '撒泡尿试试吧'}
{'评论时间': '2024-02-03 20:07:10', 'IP属地': '湖北', '评论内容': '荆州长江'}
{'评论时间': '2024-02-03 21:05:34', 'IP属地': '辽宁', '评论内容': '这才是真正的隐藏'}
{'评论时间': '2024-02-03 12:36:30', 'IP属地': '湖北', '评论内容': '湖北叫令冰'}
{'评论时间': '2024-02-03 20:42:39', 'IP属地': '四川', '评论内容': '我可以设计一个电吹风来卖不'}
{'评论时间': '2024-02-03 12:14:27', 'IP属地': '湖北', '评论内容': '你们不是说湖北人高冷吗？下的雪也是最高冷的'}
{'评论时间': '2024-02-03 07:27:48', 'IP属地': '湖北', '评论内容': '刘德华的冷冷的冰雨'}
{'评论时间': '2024-02-03 21:35:11', 'IP属地': '广西', '评论内容': '北方人不适合这种把手'}
{'评论时间': '2024-02-03 21:48:17', 'IP属地': '广东', '评论内容': '我上次就打了这种车，没发现门把手，被司机鄙视了一把'}
{'评论时间': '2024-02-03 13:52:22', 'IP属地': '河北', '评论内容': '能打开就对不起隐藏两个字'}
{'评论时间': '2024-02-03 23:04:07', 'IP属地': '重庆', '评论内容': '这种天气，有门把手那种可能也打不开'}
{'评论时间': '2024-02-03 23:13:48', 'IP属地': '湖北', '评论内容': '高速可以用不'}
{'评论时间': '2024-02-03 12:48:33', 'IP属地': '安徽', '评论内容': '差点交代在你们湖北高速上'}
{'评论时间': '2024-02-03 14:50:56', 'IP属地': '湖北', '评论内容': '难怪湖北人高冷，下的雨都比别人冷'}
{'评论时间': '2024-02-03 09:35:32', 'IP属地': '湖北', '评论内容': '所以知道我们为什么高冷了吧'}
{'评论时间': '2024-02-03 21:14:19', 'IP属地': '广东', '评论内容': '一壶热水就能搞定的事儿'}
{'评论时间': '2024-02-03 19:48:42', 'IP属地': '湖北', '评论内容': '高高高科技，好几个高'}
{'评论时间': '2024-02-03 19:22:33', 'IP属地': '四川', '评论内容': '过年开春就好了'}
{'评论时间': '2024-02-03 22:55:18', 'IP属地': '重庆', '评论内容': '影藏式门把手，好高级'}
{'评论时间': '2024-02-03 15:21:49', 'IP属地': '湖北', '评论内容': '冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-03 22:53:26', 'IP属地': '重庆', '评论内容': '别人都说了隐藏，你以为它跟你开玩笑'}
{'评论时间': '2024-02-03 08:30:53', 'IP属地': '湖北', '评论内容': '湖北这样的天气也是很难遇到，恭喜你！'}
{'评论时间': '2024-02-03 13:52:36', 'IP属地': '上海', '评论内容': '撒尿试试，热呼呼的'}
{'评论时间': '2024-02-03 22:57:21', 'IP属地': '河北', '评论内容': '你忘了对暗号，你说芝麻开门。然后车门说，太冷张不开嘴'}
{'评论时间': '2024-02-03 17:50:57', 'IP属地': '广东', '评论内容': '上个月底去武汉玩，吃了冰糖葫芦。看来时间不对，没见识到这种冰糖葫芦'}
{'评论时间': '2024-02-03 19:29:38', 'IP属地': '湖北', '评论内容': '对准把手窝趴尿'}
{'评论时间': '2024-02-03 19:43:00', 'IP属地': '江苏', '评论内容': '如果你的旁边没人，你试试一泡尿把它滋开！回头再洗洗把手！'}
{'评论时间': '2024-02-03 18:40:00', 'IP属地': '湖南', '评论内容': '开车门还要敲几下，这新款式太高级了'}
{'评论时间': '2024-02-03 11:56:32', 'IP属地': '湖南', '评论内容': '湖南人表示冬天的冻雨经常见'}
{'评论时间': '2024-02-03 18:37:26', 'IP属地': '安徽', '评论内容': '这设计就是一个鸡肋，食之无味弃之可惜'}
{'评论时间': '2024-02-03 19:41:09', 'IP属地': '内蒙古', '评论内容': '脑子里有啥才能设计这把多'}
{'评论时间': '2024-02-03 09:31:00', 'IP属地': '湖北', '评论内容': '这冻雨走出门就摔了一跤'}
{'评论时间': '2024-02-03 18:49:33', 'IP属地': '宁夏', '评论内容': '这是把头夹库挡里设计的吧？听说可以减少风组减少油耗，真实亏了仙人了'}
{'评论时间': '2024-02-03 14:47:59', 'IP属地': '安徽', '评论内容': '反人类的设计'}
{'评论时间': '2024-02-03 00:43:16', 'IP属地': '辽宁', '评论内容': '说白就是雨夹雪，说是什么冻雨'}
{'评论时间': '2024-02-03 22:10:34', 'IP属地': '辽宁', '评论内容': '他要是有车库，还用你建议'}
{'评论时间': '2024-02-03 22:45:46', 'IP属地': '湖北', '评论内容': '疫情三年，如今又被冻住武汉了'}
{'评论时间': '2024-02-03 19:41:38', 'IP属地': '浙江', '评论内容': '全国没有一条允许跑到一百五十的高速路，门把手做成蒲扇那么大又何妨，隐藏式只是加价的理由而已'}
{'评论时间': '2024-02-03 16:02:44', 'IP属地': '海南', '评论内容': '评论区是不是留着口水去喷小米汽车啊？？？'}
{'评论时间': '2024-02-03 12:34:10', 'IP属地': '湖北', '评论内容': '武汉在下令'}
{'评论时间': '2024-02-03 21:46:06', 'IP属地': '安徽', '评论内容': '这种设计省油，'}
{'评论时间': '2024-02-03 17:17:13', 'IP属地': '湖北', '评论内容': '凡是因为天气原因留在火车站的朋友一人免费送上一桶热干面，可以展现湖北的热情'}
{'评论时间': '2024-02-03 11:44:57', 'IP属地': '湖北', '评论内容': '欢迎来湖北  没什么礼物好送的  就送个天然车衣吧'}
{'评论时间': '2024-02-03 23:41:31', 'IP属地': '湖北', '评论内容': '我今天在恩施车站看到一个晚点649个小时'}
{'评论时间': '2024-02-03 23:07:29', 'IP属地': '湖北', '评论内容': '冻雨'}
{'评论时间': '2024-02-03 09:35:21', 'IP属地': '广西', '评论内容': '不是有首歌：冷冷的冻雨在我脸上胡乱的拍'}
{'评论时间': '2024-02-03 10:12:22', 'IP属地': '湖北', '评论内容': '我们要感谢冻雨，昨天把别人车雷了，冻雨破了，车没破'}
{'评论时间': '2024-02-03 23:42:13', 'IP属地': '湖北', '评论内容': '没见过冰雨 应该听过刘德华唱的歌吧？冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-03 13:46:04', 'IP属地': '湖北', '评论内容': '这就很湖北'}
{'评论时间': '2024-02-03 19:51:42', 'IP属地': '江苏', '评论内容': '这门把手高级'}
{'评论时间': '2024-02-03 21:59:19', 'IP属地': '云南', '评论内容': '有谁还记得以前的车门都是扣手式的门把手？为啥不用了？因为不安全！那时候救援没有液压剪，车在遇到事故的时候车门打不开，需要着力点把车门拉开所以改的拉手式，现在发明这个隐藏式你们说是进步还是倒退'}
{'评论时间': '2024-02-03 12:24:39', 'IP属地': '湖北', '评论内容': '湖北暴雪关武汉什么事'}
{'评论时间': '2024-02-03 05:51:08', 'IP属地': '湖北', '评论内容': '湖北就是高冷'}
{'评论时间': '2024-02-03 22:32:55', 'IP属地': '陕西', '评论内容': '冻雨真的可以用热水浇吗'}
{'评论时间': '2024-02-03 19:17:04', 'IP属地': '重庆', '评论内容': '还有方向盘不是圆形的天才设计'}
{'评论时间': '2024-02-03 08:59:29', 'IP属地': '河南', '评论内容': '前轱辘转后轱辘不转思密达'}
{'评论时间': '2024-02-03 10:19:25', 'IP属地': '新疆', '评论内容': '嘞个公里油耗怕是有点高哦'}
{'评论时间': '2024-02-03 11:00:57', 'IP属地': '湖北', '评论内容': '我刚烧了壶水去把车门浇开了，停地库去了'}
{'评论时间': '2024-02-03 19:05:01', 'IP属地': '湖北', '评论内容': '上一波人是全湖北人嗯来的，这一波人是老天爷留下来的，高光时刻，热干面，牛肉面，龙虾，肉糕，…还出来喊吗？'}
{'评论时间': '2024-02-03 19:12:07', 'IP属地': '湖北', '评论内容': '武汉哪里有这么大雪'}
{'评论时间': '2024-02-03 21:23:30', 'IP属地': '湖北', '评论内容': '坏消息，现在正在下冻雨而且有点大'}
{'评论时间': '2024-02-03 23:48:56', 'IP属地': '湖北', '评论内容': '刚从武汉回的黄石  高速干净的很'}
{'评论时间': '2024-02-03 22:11:45', 'IP属地': '湖北', '评论内容': '我想问一下，我离武汉大概30公里，雪下在哪里了？我都没看到雪花'}
{'评论时间': '2024-02-03 11:31:10', 'IP属地': '湖北', '评论内容': '湖北冬天全靠抗，这几天零度左右'}
{'评论时间': '2024-02-03 18:44:47', 'IP属地': '陕西', '评论内容': '设计师没想到你们都没有车库停车'}
{'评论时间': '2024-02-03 16:53:33', 'IP属地': '湖北', '评论内容': '娃不出门冻感冒了'}
{'评论时间': '2024-02-03 12:59:20', 'IP属地': '湖北', '评论内容': '刚准备出门就看到这样'}
{'评论时间': '2024-02-03 19:04:51', 'IP属地': '河南', '评论内容': '滋一泡尿都解决了'}
{'评论时间': '2024-02-03 23:43:22', 'IP属地': '湖北', '评论内容': '三号早上的票退了，重新买的五号早上的不知能走不'}
{'评论时间': '2024-02-03 22:48:16', 'IP属地': '湖北', '评论内容': '别人下雪，武汉下冰渣子'}
{'评论时间': '2024-02-03 14:44:02', 'IP属地': '江苏', '评论内容': '风阻小了！冻雨阻大了'}
{'评论时间': '2024-02-03 18:40:13', 'IP属地': '湖北', '评论内容': '马上就到武汉高铁站等中转了 好慌'}
{'评论时间': '2024-02-03 22:48:51', 'IP属地': '湖北', '评论内容': '早上9点到黄石这个点刚过天门，十几个小时没出湖北'}
{'评论时间': '2024-02-03 06:43:25', 'IP属地': '湖北', '评论内容': '冻雨牛逼'}
{'评论时间': '2024-02-03 23:23:12', 'IP属地': '湖北', '评论内容': '湖北高冷，留不住你的心，只能留住你的人'}
{'评论时间': '2024-02-03 23:35:30', 'IP属地': '湖北', '评论内容': '大哥，我堵到湖北7个小时了，现在还在堵着'}
{'评论时间': '2024-02-03 15:15:27', 'IP属地': '江西', '评论内容': '不开玩笑，回成都途径武汉湖北潜江，车上一直在播报晚点10分 30分 60分，完犊子，现在居然晚点120分'}
{'评论时间': '2024-02-03 21:17:44', 'IP属地': '上海', '评论内容': '能不能发明一种车把手在外面非嵌入式的'}
{'评论时间': '2024-02-03 00:41:13', 'IP属地': '浙江', '评论内容': '我是湖北人也第一次听说冻雨'}
{'评论时间': '2024-02-03 21:45:16', 'IP属地': '北京', '评论内容': '刚看到了一个视频，两张纸解决！'}
{'评论时间': '2024-02-03 19:10:16', 'IP属地': '湖南', '评论内容': '用热水烫或撒泡尿'}
{'评论时间': '2024-02-03 18:37:08', 'IP属地': '河南', '评论内容': '专家:为啥不停在地下专用车库'}
{'评论时间': '2024-02-03 17:26:55', 'IP属地': '湖北', '评论内容': '来湖北，送车衣'}
{'评论时间': '2024-02-03 18:48:08', 'IP属地': '河南', '评论内容': '隐藏式更安全，'}
{'评论时间': '2024-02-03 15:20:19', 'IP属地': '湖北', '评论内容': '坐标潜江，也是冻雨不↓雪，'}
{'评论时间': '2024-02-03 23:06:54', 'IP属地': '湖北', '评论内容': '蹲个姐妹明天一起去吧'}
{'评论时间': '2024-02-03 23:29:14', 'IP属地': '湖北', '评论内容': '瞧瞧这恶毒的天气'}
{'评论时间': '2024-02-03 21:34:25', 'IP属地': '江苏', '评论内容': '湖北算是南方还是北方呀'}
{'评论时间': '2024-02-03 19:56:37', 'IP属地': '吉林', '评论内容': '看来还是面包车的隐藏式把手好使'}
{'评论时间': '2024-02-03 16:39:34', 'IP属地': '安徽', '评论内容': '用开水一直浇，那么久可以买个新的了'}
{'评论时间': '2024-02-03 22:22:29', 'IP属地': '安徽', '评论内容': '车企可能没想到 能买起大几十万的车的车主没有车库'}
{'评论时间': '2024-02-03 18:06:33', 'IP属地': '湖北', '评论内容': '这种天气非得开车吗'}
{'评论时间': '2024-02-03 15:50:45', 'IP属地': '陕西', '评论内容': '设计师也没想到还有买不起车库车位的'}
{'评论时间': '2024-02-03 19:26:56', 'IP属地': '湖北', '评论内容': '中午出去出门都打不开，拿温水浇半小时才能进去，希望天气快点好起来，让一年到头在外打拼的人早点回家团聚'}
{'评论时间': '2024-02-03 18:32:56', 'IP属地': '重庆', '评论内容': '在座的各位别喷了，你们到底懂不懂啊！这种设计它作用可大了，它不仅可以减小风阻，而且还美观好看，最最最重要的是它为了你的安全着想，冬天直接不让你开车，多贴心啊家人们'}
{'评论时间': '2024-02-03 18:39:49', 'IP属地': '江苏', '评论内容': '起初人们以为只是普通的晚点'}
{'评论时间': '2024-02-03 17:57:59', 'IP属地': '湖北', '评论内容': '要看冻雨吗，武汉的，给你看，一看一个不吱声是吧'}
{'评论时间': '2024-02-03 14:53:14', 'IP属地': '湖北', '评论内容': '武汉不高冷 只是真的冷'}
{'评论时间': '2024-02-03 15:05:01', 'IP属地': '河南', '评论内容': '用开水，一定要刚烧开的'}
{'评论时间': '2024-02-03 13:34:22', 'IP属地': '北京', '评论内容': '启停技术，和隐藏门把手就是个鸡肋，同意点赞'}
{'评论时间': '2024-02-03 10:47:57', 'IP属地': '北京', '评论内容': '今年刚好计划带娃回湖北过年'}
{'评论时间': '2024-02-03 23:52:58', 'IP属地': '湖北', '评论内容': '难搞咯，明天上班还是要温鞋'}
{'评论时间': '2024-02-03 23:02:39', 'IP属地': '上海', '评论内容': '烧壶热水，倒在毛巾上……'}
{'评论时间': '2024-02-03 08:03:50', 'IP属地': '湖北', '评论内容': '昨天在湖北老家，长这么大第一次听说冻雨'}
{'评论时间': '2024-02-03 10:57:28', 'IP属地': '湖北', '评论内容': '我就奇怪难道只有湖北有冻雨么'}
{'评论时间': '2024-02-03 23:05:03', 'IP属地': '广东', '评论内容': '烧开水啊'}
{'评论时间': '2024-02-03 13:34:52', 'IP属地': '安徽', '评论内容': '后轱辘不转前轱辘转思密达'}
{'评论时间': '2024-02-03 22:49:22', 'IP属地': '广东', '评论内容': '最不实用的门把手'}
{'评论时间': '2024-02-03 15:04:08', 'IP属地': '湖北', '评论内容': '湖北文旅：阁下若是不愿留下，那我还有个兄弟叫湖北冻雨它略懂些拳脚'}
{'评论时间': '2024-02-03 23:59:20', 'IP属地': '河南', '评论内容': '这次湖北可以硬气的说自己是“北”方了'}
{'评论时间': '2024-02-03 17:14:04', 'IP属地': '湖北', '评论内容': '一箱油能跑一公里'}
{'评论时间': '2024-02-03 23:17:35', 'IP属地': '广东', '评论内容': '堵路上也好，我带孩子刚才还没回到娘家，那几个八卦的大叔大妈居然传我离婚带娃回娘家过年……女婿不一起就不能回娘家吗'}
{'评论时间': '2024-02-03 23:17:40', 'IP属地': '湖北', '评论内容': '神经 下的刨冰什么暴雪'}
{'评论时间': '2024-02-03 22:44:32', 'IP属地': '湖北', '评论内容': '高速堵的厉害两天了没出湖北'}
{'评论时间': '2024-02-03 14:27:06', 'IP属地': '湖北', '评论内容': '怎么能不出门。最后几天能过早的机会了。再过几天好吃的过早要关门啦'}
{'评论时间': '2024-02-03 18:35:17', 'IP属地': '四川', '评论内容': '隐藏式门把手可以减少风阻'}
{'评论时间': '2024-02-03 15:34:10', 'IP属地': '湖北', '评论内容': '买的明天汉口票，明天无论如何要回去'}
{'评论时间': '2024-02-03 22:50:15', 'IP属地': '广东', '评论内容': '用开水010'}
{'评论时间': '2024-02-03 21:58:21', 'IP属地': '湖北', '评论内容': '湖北特产，冻雨'}
{'评论时间': '2024-02-03 23:11:14', 'IP属地': '湖北', '评论内容': '不管你在南北东西。还是东西南北。都要经过湖北。这次走不了咯吧！就在湖北过年呗'}
{'评论时间': '2024-02-03 21:13:40', 'IP属地': '湖北', '评论内容': '我想到一项发明，就是装一个突出来的门把手'}
{'评论时间': '2024-02-03 15:17:15', 'IP属地': '湖北', '评论内容': '在湖北叫冰糖车子'}
{'评论时间': '2024-02-03 22:10:02', 'IP属地': '海南', '评论内容': '你们那里的天气不应该买这种门的车，如果买这种门的话，必须要用火烤'}
{'评论时间': '2024-02-03 18:06:11', 'IP属地': '湖北', '评论内容': '留汉就地过年，增加本地消费GDP'}
{'评论时间': '2024-02-03 00:50:57', 'IP属地': '湖北', '评论内容': '领教了 冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-03 16:25:51', 'IP属地': '湖南', '评论内容': '小年要去坟头烧香，50公里开了4个小时'}
{'评论时间': '2024-02-03 19:58:01', 'IP属地': '浙江', '评论内容': '呵呵高科技不可靠'}
{'评论时间': '2024-02-03 21:37:47', 'IP属地': '安徽', '评论内容': '好高级啊！车主来了都防盗'}
{'评论时间': '2024-02-03 19:15:52', 'IP属地': '湖南', '评论内容': '高科技就是不一样'}
{'评论时间': '2024-02-03 22:25:20', 'IP属地': '江西', '评论内容': '福特的破冰门把手'}
{'评论时间': '2024-02-03 15:47:57', 'IP属地': '北京', '评论内容': '我想去打个伞试试能不能做个大冰碗'}
{'评论时间': '2024-02-03 11:38:58', 'IP属地': '湖北', '评论内容': '湖北荆门叫令钩子'}
{'评论时间': '2024-02-03 14:57:30', 'IP属地': '上海', '评论内容': '我还能回大武汉吗？'}
{'评论时间': '2024-02-03 21:22:39', 'IP属地': '云南', '评论内容': '就那四个把手能有多少风阻，非要设计成这样。'}
{'评论时间': '2024-02-03 21:55:08', 'IP属地': '辽宁', '评论内容': '刚才看有人用手纸就把问题解决了'}
{'评论时间': '2024-02-03 19:45:44', 'IP属地': '广西', '评论内容': '这就是高科技好处  '}
{'评论时间': '2024-02-03 16:59:41', 'IP属地': '湖北', '评论内容': '我经过武汉，哭了，晚点了五个小时'}
{'评论时间': '2024-02-03 12:21:29', 'IP属地': '湖北', '评论内容': '冰糖葫芦都有汽车馅的了'}
{'评论时间': '2024-02-03 18:47:36', 'IP属地': '江苏', '评论内容': '不切实际的设计'}
{'评论时间': '2024-02-03 22:48:56', 'IP属地': '湖北', '评论内容': '还好我今早4点到天河机场了，回武汉了，回家过年的感觉真爽'}
{'评论时间': '2024-02-03 08:26:11', 'IP属地': '湖北', '评论内容': '这个，糖葫芦也有汽车馅了'}
{'评论时间': '2024-02-03 23:37:41', 'IP属地': '湖北', '评论内容': '冻雨'}
{'评论时间': '2024-02-03 18:46:35', 'IP属地': '河南', '评论内容': '今天早上看到我车门把手一堆雪我还在想要是隐藏式的就好了'}
{'评论时间': '2024-02-03 22:33:24', 'IP属地': '湖北', '评论内容': '今晚暴雪'}
{'评论时间': '2024-02-03 14:52:21', 'IP属地': '湖北', '评论内容': '活了这么久第一次见冻雨，一点也不好玩，还不如痛快下场暴雪'}
{'评论时间': '2024-02-03 13:23:12', 'IP属地': '湖北', '评论内容': '在湖北叫牛皮令'}
{'评论时间': '2024-02-03 20:08:59', 'IP属地': '北京', '评论内容': '和高铁一样，雨雪冰冻不行了'}
{'评论时间': '2024-02-03 18:59:36', 'IP属地': '湖北', '评论内容': '不是！武汉有这么大的雪吗？我咋不知道？'}
{'评论时间': '2024-02-03 18:21:40', 'IP属地': '浙江', '评论内容': '隐藏式把手这么好'}
{'评论时间': '2024-02-03 18:55:51', 'IP属地': '北京', '评论内容': '显示出隐藏把手缺根弦'}
{'评论时间': '2024-02-03 10:06:49', 'IP属地': '湖北', '评论内容': '别说 还真别说 武汉今天终于下雪了'}
{'评论时间': '2024-02-03 22:37:07', 'IP属地': '广西', '评论内容': '设计没毛病'}
{'评论时间': '2024-02-03 23:33:41', 'IP属地': '陕西', '评论内容': '开这么好的车，没有地下车库，哎可惜了'}
{'评论时间': '2024-02-03 09:04:33', 'IP属地': '湖北', '评论内容': '这是湖北的高冷'}
{'评论时间': '2024-02-03 08:51:24', 'IP属地': '湖北', '评论内容': '别说你，我作为武汉人几十年，我都没见过冻雨'}
{'评论时间': '2024-02-03 19:16:35', 'IP属地': '广东', '评论内容': '当天 这个车表显里程1000公里。实际挪动1米。'}
{'评论时间': '2024-02-03 18:07:27', 'IP属地': '湖北', '评论内容': '用开水化的快'}
{'评论时间': '2024-02-03 14:57:11', 'IP属地': '湖北', '评论内容': '服不服湖北的高冷'}
{'评论时间': '2024-02-03 11:12:23', 'IP属地': '广东', '评论内容': '这乌尼莫克般漆面喷涂工艺哪里做的？好高级好硬汉好好看'}
{'评论时间': '2024-02-03 21:58:02', 'IP属地': '湖北', '评论内容': '武汉这样的设备估摸着都秀死了'}
{'评论时间': '2024-02-03 12:16:40', 'IP属地': '湖北', '评论内容': '别个地方都是下雪，我们湖北是给车下了一层保护膜'}
{'评论时间': '2024-02-03 15:28:08', 'IP属地': '湖北', '评论内容': '这样的天气，出门搓球'}
{'评论时间': '2024-02-03 19:34:05', 'IP属地': '云南', '评论内容': '第一个疫情完全放开的春运，最终还是武汉来担'}
{'评论时间': '2024-02-03 13:33:09', 'IP属地': '重庆', '评论内容': '反人类设计'}
{'评论时间': '2024-02-03 22:02:48', 'IP属地': '福建', '评论内容': '隐藏的挺好'}
{'评论时间': '2024-02-03 08:55:46', 'IP属地': '湖北', '评论内容': '南方不冷'}
{'评论时间': '2024-02-03 18:22:31', 'IP属地': '福建', '评论内容': '电车。还有这些所谓高科技高级感的只要到了北方就一个个显出原型了'}
{'评论时间': '2024-02-03 21:29:48', 'IP属地': '陕西', '评论内容': '神一样的设计，就这还比较广泛应用。'}
{'评论时间': '2024-02-03 18:45:40', 'IP属地': '浙江', '评论内容': '有一种水叫开水'}
{'评论时间': '2024-02-03 22:30:48', 'IP属地': '湖北', '评论内容': '下暴雪是你的谎言'}
{'评论时间': '2024-02-03 21:55:44', 'IP属地': '浙江', '评论内容': '设计师真的很愚蠢，一定要设计个和阿斯顿马丁一样的把手'}
{'评论时间': '2024-02-03 22:23:07', 'IP属地': '湖北', '评论内容': '人家北方下在大的雪都不慌因为别人有经验'}
{'评论时间': '2024-02-03 22:11:20', 'IP属地': '湖北', '评论内容': '以为是大东北，原来是武汉'}
