{'评论时间': '2024-02-09 17:01:39', 'IP属地': '安徽', '评论内容': '感动了'}
{'评论时间': '2024-02-09 12:04:09', 'IP属地': '四川', '评论内容': '麻烦湖北的朋友别科普冻雨了，看看你们本地程力集团是干啥的'}
{'评论时间': '2024-02-09 00:01:59', 'IP属地': '河北', '评论内容': '就是在评论区留言说方法说好话我都会被湖北的某些兄弟们无差别攻击，真挺想不明白的'}
{'评论时间': '2024-02-09 09:37:50', 'IP属地': '甘肃', '评论内容': '请不要道德绑架，极端的天气给救援增加了极大的困难。湖北的村名是楷模，也是国人学习的榜样'}
{'评论时间': '2024-02-09 02:05:51', 'IP属地': '辽宁', '评论内容': '这玩意在东北不就是雨夹雪后降温出现的太正常不过的事了么'}
{'评论时间': '2024-02-09 00:21:33', 'IP属地': '辽宁', '评论内容': '东北都会在下雪时候给车罩上'}
{'评论时间': '2024-02-09 16:48:03', 'IP属地': '湖北', '评论内容': '让那些骂我们的自己滚来把路舔干净，自己不会想办法么，全依赖我们的交警，人家也不可能飞过来啊，有脑子吗'}
{'评论时间': '2024-02-09 19:45:54', 'IP属地': '山东', '评论内容': '武汉疫情的时候全国人民心系武汉，各种支援物资一车一车免费送，自掏腰包油费过路费，山东送菜一波接一波，结果现在人家高速堵了市民去高速做生意去了，不过免费得也很多，但还是被做生意的破坏了形象'}
{'评论时间': '2024-02-09 09:17:01', 'IP属地': '湖北', '评论内容': '我那天在路上看花坛里雪有点厚，想帮忙抖抖，但是……根本抖不动，纹丝不动，都是冰坨子'}
{'评论时间': '2024-02-09 05:37:55', 'IP属地': '山东', '评论内容': '湖北的，是真懒啊'}
{'评论时间': '2024-02-09 11:50:53', 'IP属地': '湖北', '评论内容': '你这是在夸湖北还是要我跟你点赞，你这讲的真好，你可以当政委'}
{'评论时间': '2024-02-09 10:58:28', 'IP属地': '浙江', '评论内容': '走路都走不稳是怎么当交警的'}
{'评论时间': '2024-02-09 11:50:01', 'IP属地': '山东', '评论内容': '不是雨夹雪是冻雨'}
{'评论时间': '2024-02-09 00:36:08', 'IP属地': '湖北', '评论内容': '喷子们，怎么不洒盐'}
{'评论时间': '2024-02-09 08:18:37', 'IP属地': '安徽', '评论内容': '冻雨是什么'}
{'评论时间': '2024-02-09 07:19:22', 'IP属地': '河南', '评论内容': '这不是雨夹雪吗'}
{'评论时间': '2024-02-09 08:23:51', 'IP属地': '上海', '评论内容': '湖北棒棒的，你们辛苦了'}
{'评论时间': '2024-02-09 18:31:17', 'IP属地': '山东', '评论内容': '那个...交警滑倒那个画面非放不可吗，本来我挺伤感的'}
{'评论时间': '2024-02-09 01:03:33', 'IP属地': '北京', '评论内容': '中国啥都缺，就不缺自私自利的喷子，就算你做的再好，这群喷子也不买账还是无脑喷'}
{'评论时间': '2024-02-09 07:00:27', 'IP属地': '山东', '评论内容': '好科普'}
{'评论时间': '2024-02-09 11:25:51', 'IP属地': '山东', '评论内容': '湖北这次把东北人都整不会了'}
{'评论时间': '2024-02-09 00:09:41', 'IP属地': '辽宁', '评论内容': '你就瞎说 冻雨只有湖北有'}
{'评论时间': '2024-02-09 01:17:35', 'IP属地': '江苏', '评论内容': '我发现这个评论区，好多河南的地址阴阳怪气啊？啥情况啊'}
{'评论时间': '2024-02-09 13:51:01', 'IP属地': '上海', '评论内容': '这尺寸是老天爷设计好尺寸 地域 直接嘭！从天上落下的'}
{'评论时间': '2024-02-09 01:11:02', 'IP属地': '广东', '评论内容': '把这视频从头看到尾的是不是都是南方人'}
{'评论时间': '2024-02-09 08:18:16', 'IP属地': '黑龙江', '评论内容': '其实吧，湖北不是有特种车么，换个小锤头就行了'}
{'评论时间': '2024-02-09 02:08:36', 'IP属地': '山西', '评论内容': '山西没下过雪，谢谢科普'}
{'评论时间': '2024-02-09 11:19:13', 'IP属地': '湖北', '评论内容': '湖北人从来不差事！'}
{'评论时间': '2024-02-09 10:46:35', 'IP属地': '湖北', '评论内容': '关关难过关关过 事事难成事事成'}
{'评论时间': '2024-02-09 08:47:10', 'IP属地': '黑龙江', '评论内容': '您这个小铲子，是不是加油送的？还是买车送的？总之不像买的'}
{'评论时间': '2024-02-09 10:46:09', 'IP属地': '海南', '评论内容': '在海南被湖北人温暖'}
{'评论时间': '2024-02-09 12:05:16', 'IP属地': '黑龙江', '评论内容': '不好意思，我没忍住'}
{'评论时间': '2024-02-09 05:13:48', 'IP属地': '河南', '评论内容': '人家都科普几天了，看我口型这叫（冻雨）'}
{'评论时间': '2024-02-09 15:13:44', 'IP属地': '广东', '评论内容': '对对对就你那下冻雨 '}
{'评论时间': '2024-02-09 22:03:39', 'IP属地': '湖北', '评论内容': '好可怕，湖南加油'}
{'评论时间': '2024-02-09 06:51:28', 'IP属地': '山东', '评论内容': '别伤心湖北同胞'}
{'评论时间': '2024-02-09 01:19:12', 'IP属地': '河南', '评论内容': '河南看到了'}
{'评论时间': '2024-02-09 00:21:09', 'IP属地': '辽宁', '评论内容': '湖北特产：官方解释'}
{'评论时间': '2024-02-09 15:51:44', 'IP属地': '浙江', '评论内容': '每次刷到因为寒冷天气被冻在路上的视频，我就很恨那些说今年是暖冬的气象专家。专家在2023年初的时候说因为全球变暖，今年会是有史以来最暖的一个冬天，特么的他们怎么不去高速上冻一下'}
{'评论时间': '2024-02-09 11:01:54', 'IP属地': '广西', '评论内容': '对不住了，交警叔叔，我不是有意笑出声来的'}
{'评论时间': '2024-02-09 11:33:25', 'IP属地': '贵州', '评论内容': '三顶帽子都落地了，建议骑行安全佩戴头盔，交警换装安全头盔'}
{'评论时间': '2024-02-09 15:49:50', 'IP属地': '河北', '评论内容': '正确定性冻雨的湖北'}
{'评论时间': '2024-02-09 08:48:05', 'IP属地': '新疆', '评论内容': '这不是冻雨，这是固化的…………'}
{'评论时间': '2024-02-09 00:57:39', 'IP属地': '河北', '评论内容': '河北冻雨'}
{'评论时间': '2024-02-09 06:50:36', 'IP属地': '黑龙江', '评论内容': '这算啥 在俺们东北尿尿都要拿个棍子'}
{'评论时间': '2024-02-09 13:17:21', 'IP属地': '贵州', '评论内容': '我就从河南回来，河南的雪虽然下的很大，但是都是很好铲的，凝冻根本铲不冻'}
{'评论时间': '2024-02-09 16:03:41', 'IP属地': '河南', '评论内容': '让你看看河南的冻雨'}
{'评论时间': '2024-02-09 18:09:49', 'IP属地': '辽宁', '评论内容': '啧啧啧，这湖北的都来对我拍东北雪景的视频点评了，我就想问下边上就是路，它干不干净？'}
{'评论时间': '2024-02-09 22:03:54', 'IP属地': '湖北', '评论内容': '我们不嘴硬了，这是我们没有提前撒盐，没有提前撒融雪剂，没有提前清理，让车压实了，人踩实了的。谁让我们懒呢，不提前预防，也没有人24小时不停的铲雪'}
{'评论时间': '2024-02-09 18:41:26', 'IP属地': '新疆', '评论内容': '湖北没有铲车吗？五米几分钟？'}
{'评论时间': '2024-02-09 17:15:21', 'IP属地': '安徽', '评论内容': '这就是个垃圾设计'}
{'评论时间': '2024-02-09 21:56:59', 'IP属地': '湖北', '评论内容': '湖北明天温度18度'}
{'评论时间': '2024-02-09 10:02:17', 'IP属地': '山东', '评论内容': '有的湖北人说车铲不动'}
{'评论时间': '2024-02-09 01:11:17', 'IP属地': '北京', '评论内容': '武汉  冻雨'}
{'评论时间': '2024-02-09 06:12:47', 'IP属地': '河南', '评论内容': '河南也先下的冻雨'}
{'评论时间': '2024-02-09 06:48:21', 'IP属地': '吉林', '评论内容': '全国人民都看到了'}
{'评论时间': '2024-02-09 02:05:11', 'IP属地': '吉林', '评论内容': '对对对，我们东北人不懂“冻雨”，也确实没见过这么厚的冰！'}
{'评论时间': '2024-02-09 08:57:12', 'IP属地': '广东', '评论内容': '冻雨！ 一开始以为是雨'}
{'评论时间': '2024-02-09 00:40:33', 'IP属地': '山西', '评论内容': '我在半夜，居然看完了此视频！'}
{'评论时间': '2024-02-09 11:15:19', 'IP属地': '江苏', '评论内容': '忍不住热泪盈眶 '}
{'评论时间': '2024-02-09 08:51:15', 'IP属地': '河北', '评论内容': '那个交警小姐姐出名了'}
{'评论时间': '2024-02-09 17:52:29', 'IP属地': '河南', '评论内容': '谁能想到南方会下大雪，设备储量低应对慢很正常。就像我们郑州当时暴雨一样，谁能想到一个内陆城市一小时被灌进去一百多个西湖的水量。地理气候不一样是为了让大家互帮互助的，不是为了让大家找优越感，拿天灾人命开玩笑的。'}
{'评论时间': '2024-02-09 00:30:55', 'IP属地': '湖南', '评论内容': '别说我们，要说就说天气，我们也尽力了'}
{'评论时间': '2024-02-09 22:30:35', 'IP属地': '湖南', '评论内容': '岳阳与湖北共患难'}
{'评论时间': '2024-02-09 10:29:42', 'IP属地': '湖北', '评论内容': '关关难过关关过，前路漫漫亦灿烂'}
{'评论时间': '2024-02-09 01:13:32', 'IP属地': '广东', '评论内容': '能看完这个视频的都是南方人吧？'}
{'评论时间': '2024-02-09 12:59:40', 'IP属地': '湖北', '评论内容': '下雪前没把枝叶全剪掉么'}
{'评论时间': '2024-02-09 15:15:53', 'IP属地': '江苏', '评论内容': '湖北'}
{'评论时间': '2024-02-09 22:48:24', 'IP属地': '山东', '评论内容': '水温不起来，前风挡加热不好用'}
{'评论时间': '2024-02-09 22:39:49', 'IP属地': '河北', '评论内容': '全国人都不懂  就你懂'}
{'评论时间': '2024-02-09 10:33:04', 'IP属地': '湖北', '评论内容': '那天他跟我说的分手的一瞬间在几年没有下雪的仙桃下雪了'}
{'评论时间': '2024-02-09 20:15:48', 'IP属地': '湖北', '评论内容': '加油湖北'}
{'评论时间': '2024-02-09 02:50:34', 'IP属地': '云南', '评论内容': '这个铲子是不是你们那里家家必备的'}
{'评论时间': '2024-02-09 08:20:05', 'IP属地': '河北', '评论内容': '河北承德看到了，湖北加油'}
{'评论时间': '2024-02-09 21:03:55', 'IP属地': '广西', '评论内容': '这车本来就不是为北方人设计的'}
{'评论时间': '2024-02-09 17:58:12', 'IP属地': '广西', '评论内容': '广东先是03年遇到非典，08年又因为南方雪灾导致乘客滞留广州，湖北先是20年遇上新冠疫情，24年又因为冻雨导致不少乘客被困'}
{'评论时间': '2024-02-09 13:42:47', 'IP属地': '湖南', '评论内容': '喷子：我看不到，也听不到，冻雨就是雨夹雪，就是没清理被压实了，别给我们科普什么是冻雨，我们北方很常见，撒盐就行了'}
{'评论时间': '2024-02-09 03:09:44', 'IP属地': '四川', '评论内容': '冻雨真的很厉害！！！！'}
{'评论时间': '2024-02-09 22:41:34', 'IP属地': '湖北', '评论内容': '喷子会说这是不及时铲雪，经过车压脚踏结成的冰，不及早撒盐处理的结果'}
{'评论时间': '2024-02-09 02:34:06', 'IP属地': '河北', '评论内容': '笨死了，手拍啊车铁皮薄一排就下来，矿泉水十几块，能买好几包盐，撒盐直接化'}
{'评论时间': '2024-02-09 10:24:15', 'IP属地': '广西', '评论内容': '刘德华唱的“冰雨”是不是就是这种雨？'}
{'评论时间': '2024-02-09 00:38:16', 'IP属地': '山东', '评论内容': '湖北的领导们'}
{'评论时间': '2024-02-09 20:53:05', 'IP属地': '福建', '评论内容': '再过一段时间不铲，应该又多出了一个“湖北冰川”了吧。'}
{'评论时间': '2024-02-09 00:58:07', 'IP属地': '湖北', '评论内容': '山东河南辽宁喷的最多我只能说无所谓了'}
{'评论时间': '2024-02-09 13:52:11', 'IP属地': '江苏', '评论内容': '过年把地方政府架火上烤了'}
{'评论时间': '2024-02-09 06:40:08', 'IP属地': '山东', '评论内容': '湖北你确定冻雨只在湖北下吗'}
{'评论时间': '2024-02-09 17:29:26', 'IP属地': '辽宁', '评论内容': '真好刨啊，一块一块的，在东北不及时清理刨完是一个坑'}
{'评论时间': '2024-02-09 12:33:15', 'IP属地': '湖北', '评论内容': '警察：同志，你不用尴尬，你看，我们也一样！'}
{'评论时间': '2024-02-09 11:47:34', 'IP属地': '广东', '评论内容': '鄂鄂，冻雨是天灾'}
{'评论时间': '2024-02-09 00:07:52', 'IP属地': '广东', '评论内容': '那谁都通报批评了还在科普冻雨'}
{'评论时间': '2024-02-09 00:31:24', 'IP属地': '美国', '评论内容': '可能是湖北网友骂别人吧'}
{'评论时间': '2024-02-09 10:56:20', 'IP属地': '广西', '评论内容': '不是不下雪了？'}
{'评论时间': '2024-02-09 03:01:56', 'IP属地': '河北', '评论内容': '确实严重，政府疏导如何，有人受伤吗？注意安全啊'}
{'评论时间': '2024-02-09 07:46:24', 'IP属地': '河南', '评论内容': '河南看到了，理解湖北'}
{'评论时间': '2024-02-09 02:22:09', 'IP属地': '青海', '评论内容': '骑车人摔懵逼了，刚醒过来看到交警摔倒又懵逼了'}
{'评论时间': '2024-02-09 12:17:23', 'IP属地': '湖南', '评论内容': '我忍不住笑了'}
{'评论时间': '2024-02-09 01:42:23', 'IP属地': '湖北', '评论内容': '你们知道吗？我们这道路上的冰铲车都铲不动，一边铲一边结冰，太难了'}
{'评论时间': '2024-02-09 07:34:54', 'IP属地': '新疆', '评论内容': '还是南方会玩啊'}
{'评论时间': '2024-02-09 22:44:59', 'IP属地': '湖北', '评论内容': '鄂鄂我啊今天害怕的一天都不敢出门打开手机还要看到那么多人骂我们，真的心瞬间比外面的天气还要凉呀'}
{'评论时间': '2024-02-09 15:36:47', 'IP属地': '山东', '评论内容': '冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-09 09:19:37', 'IP属地': '河南', '评论内容': '看来湖北下的是“特大冻暴雨”，瞬间或者小时降冻雨量200毫米'}
{'评论时间': '2024-02-09 02:13:37', 'IP属地': '湖北', '评论内容': '那些说及时清理的，你们以为是道路是车前面的玻璃吗？能一分钟挂几十次'}
{'评论时间': '2024-02-09 04:40:40', 'IP属地': '湖北', '评论内容': '来个北方的朋友解释一下：高铁怕冻雨这是全世界目前为止还没有什么办法解决的，你们那边是家常便饭，咋就没听说你们高铁停运过呢'}
{'评论时间': '2024-02-09 16:57:35', 'IP属地': '安徽', '评论内容': '东北那边也是，那边一下雪，主干道就出动扫雪铲雪车，主干道根本没有积雪的机会'}
{'评论时间': '2024-02-09 10:02:55', 'IP属地': '河南', '评论内容': '清理不及时，还搞那么多理由'}
{'评论时间': '2024-02-09 22:29:02', 'IP属地': '湖北', '评论内容': '你猜我为什么不去？前几天下冻雨时我的马路大妈爬不上地库的陡坡'}
{'评论时间': '2024-02-09 00:38:43', 'IP属地': '河南', '评论内容': '湖北的雪就是不一样'}
{'评论时间': '2024-02-09 03:11:05', 'IP属地': '辽宁', '评论内容': '得先研究冻雨，化验完了以后，才能铲雪，专家教授研究出来了结果是等到6月份就好了'}
{'评论时间': '2024-02-09 01:32:05', 'IP属地': '新疆', '评论内容': '给北方人科普冰雪知识'}
{'评论时间': '2024-02-09 00:55:40', 'IP属地': '吉林', '评论内容': '东北神剑'}
{'评论时间': '2024-02-09 05:00:48', 'IP属地': '江西', '评论内容': '啊这 祝平安'}
{'评论时间': '2024-02-09 19:02:52', 'IP属地': '吉林', '评论内容': '设计有缺陷'}
{'评论时间': '2024-02-09 15:26:14', 'IP属地': '河南', '评论内容': '河南邻居看着呢，好心人自多福'}
{'评论时间': '2024-02-09 00:26:18', 'IP属地': '福建', '评论内容': '非常感谢一莎老师为湖北发声'}
{'评论时间': '2024-02-09 17:13:10', 'IP属地': '湖北', '评论内容': '不是湖北才有高速路。不是只有湖北才下雪！谁的人民币都不是从天上掉下来的你们不要到底绑架'}
{'评论时间': '2024-02-09 19:27:22', 'IP属地': '河南', '评论内容': '对对对，在全国违规的收割机在湖北不违规能上高速，在全国都能化的雪，在湖北就是能涨知识的冻雨。'}
{'评论时间': '2024-02-09 07:38:50', 'IP属地': '江苏', '评论内容': '没处理好就是没处理好，借口一大堆，苦的是赶回家过年的人'}
{'评论时间': '2024-02-09 08:09:42', 'IP属地': '宁夏', '评论内容': '如果是视频这样 下三个小时 那冰就老厚了    汽车估计都得冻住  '}
{'评论时间': '2024-02-09 06:29:28', 'IP属地': '江西', '评论内容': '确实不容易'}
{'评论时间': '2024-02-09 20:59:37', 'IP属地': '湖北', '评论内容': '谁知道湖北的传统美食陀螺（大汤圆）'}
{'评论时间': '2024-02-09 08:19:40', 'IP属地': '贵州', '评论内容': '因为经历过08年贵州冻雨，所以知道湖北经历了什么'}
{'评论时间': '2024-02-09 06:52:59', 'IP属地': '吉林', '评论内容': '就这状态教人们认识冻雨'}
{'评论时间': '2024-02-09 23:42:19', 'IP属地': '江苏', '评论内容': '懒+雨夹雪等于冻雨'}
{'评论时间': '2024-02-09 10:32:03', 'IP属地': '福建', '评论内容': '湖北算南方吗？'}
{'评论时间': '2024-02-09 09:42:59', 'IP属地': '黑龙江', '评论内容': '比东北还冷吗'}
{'评论时间': '2024-02-09 15:24:18', 'IP属地': '山东', '评论内容': '这次分加给湖北'}
{'评论时间': '2024-02-09 00:05:42', 'IP属地': '广西', '评论内容': '到广西了，湖北加油'}
{'评论时间': '2024-02-09 16:57:10', 'IP属地': '山东', '评论内容': '我是山东的'}
{'评论时间': '2024-02-09 10:12:15', 'IP属地': '浙江', '评论内容': '年年湖北都出幺蛾子'}
{'评论时间': '2024-02-09 13:59:54', 'IP属地': '辽宁', '评论内容': '撒盐没有用？东北零下30多度撒盐效果不错。你们那里很冷吗？这专家'}
{'评论时间': '2024-02-09 09:26:01', 'IP属地': '贵州', '评论内容': '贵州年年下的着不住，湖北加油吧'}
{'评论时间': '2024-02-09 12:47:08', 'IP属地': '江苏', '评论内容': '设计这个的绝对是南方人'}
{'评论时间': '2024-02-09 00:29:42', 'IP属地': '黑龙江', '评论内容': '好爱中国人民'}
{'评论时间': '2024-02-09 19:46:12', 'IP属地': '河北', '评论内容': '愿人人平安。'}
{'评论时间': '2024-02-09 00:15:49', 'IP属地': '贵州', '评论内容': '南方人不懂，你能忽悠北方人吗'}
{'评论时间': '2024-02-09 09:18:28', 'IP属地': '广东', '评论内容': '评论区年龄50岁以上的人多的是，还用他们来普及冻雨吗？天天科普，无知＋幼稚＋愚昧，真是悲哀！！'}
{'评论时间': '2024-02-09 07:22:11', 'IP属地': '山东', '评论内容': '当解释被当做抬杠，科普被当成笑话，当10元泡面被喷成投机，那为啥不好好过年呢？谁堵谁铲就好了，新年快乐啊'}
{'评论时间': '2024-02-09 10:20:47', 'IP属地': '山东', '评论内容': '山东老表看见啦'}
{'评论时间': '2024-02-09 19:13:55', 'IP属地': '山东', '评论内容': '下冻雨的时候不知道把高速封掉吗？'}
{'评论时间': '2024-02-09 01:00:26', 'IP属地': '河南', '评论内容': '再科普几个月都夏天了'}
{'评论时间': '2024-02-09 11:02:00', 'IP属地': '四川', '评论内容': '只有唱一句，冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-09 06:55:16', 'IP属地': '北京', '评论内容': '我说视频这么短呢！'}
{'评论时间': '2024-02-09 02:19:36', 'IP属地': '湖南', '评论内容': '湖南差不多每年都这样'}
{'评论时间': '2024-02-09 23:11:05', 'IP属地': '广东', '评论内容': '不准骂我湖北老表！'}
{'评论时间': '2024-02-09 15:06:30', 'IP属地': '湖南', '评论内容': '不是地域歧视，但是感觉到北方人真的对我们湖南湖北有很大的敌意'}
{'评论时间': '2024-02-09 07:00:36', 'IP属地': '安徽', '评论内容': '为中国公安交警点赞'}
{'评论时间': '2024-02-09 00:41:21', 'IP属地': '浙江', '评论内容': '湖北好样天灾无情人有情。'}
{'评论时间': '2024-02-09 15:46:08', 'IP属地': '湖南', '评论内容': '冻雨不是任何人的错，那群键盘侠骂完我们骂鄂鄂，我就看谁敢骂我老表'}
{'评论时间': '2024-02-09 00:01:13', 'IP属地': '四川', '评论内容': '我坚信点赞的几乎是湖北的人，只为证明他们已经努力了！'}
{'评论时间': '2024-02-09 21:31:19', 'IP属地': '广西', '评论内容': '还是广西天气好'}
{'评论时间': '2024-02-09 21:46:45', 'IP属地': '湖南', '评论内容': '08年湖南，我们这里小县城，好像是21天左右，当然有些地方天数不一样，国道堵了多少人反正我家附近都是大巴和私家车，那些坐在车里吃着我们农村百姓免费的食物和热水的时候，我们没要他们下车帮忙，就怕他们冻到，我们当时停电停水，自救，抢险救援，当时那种情况，也许只有云贵川的兄弟姐妹才能懂吧。当时堵的基本都是那边的。'}
{'评论时间': '2024-02-09 15:22:36', 'IP属地': '湖南', '评论内容': '我们这网线都被冻断了，祭祖上坟我都摔跤磕到乞丐这不是任何一个两湖人想要的天气'}
{'评论时间': '2024-02-09 13:17:09', 'IP属地': '河南', '评论内容': '放开铲子，让我来'}
{'评论时间': '2024-02-09 02:43:54', 'IP属地': '湖北', '评论内容': '我有刷到网友发的行车记录仪，湖北高速提前冻雨之前撒盐了，但也没起啥作用'}
{'评论时间': '2024-02-09 22:51:48', 'IP属地': '湖北', '评论内容': '明明是天灾，为什么要怪我们湖北'}
{'评论时间': '2024-02-09 02:17:10', 'IP属地': '黑龙江', '评论内容': '东北来了来了'}
{'评论时间': '2024-02-09 00:44:29', 'IP属地': '湖北', '评论内容': '这帮喷子我熟，四年前也是这么骂武汉的'}
{'评论时间': '2024-02-09 18:07:20', 'IP属地': '广东', '评论内容': '骂湖北的人替我家人挡灾'}
{'评论时间': '2024-02-09 07:03:11', 'IP属地': '山西', '评论内容': '提前支起雨刷'}
{'评论时间': '2024-02-09 11:25:54', 'IP属地': '山西', '评论内容': '湖北还真是多灾多难'}
{'评论时间': '2024-02-09 02:38:23', 'IP属地': '江苏', '评论内容': '这个值得表扬、看得出这才是真正为人民服务'}
{'评论时间': '2024-02-09 11:53:39', 'IP属地': '安徽', '评论内容': '说棉车衣的那个人笑死我了，我车衣冻的跟塑料差不多，取下来都花了半天功夫，还只是安徽的大雪不是湖北的冻雨'}
{'评论时间': '2024-02-09 21:54:08', 'IP属地': '安徽', '评论内容': '对不起！交警，看了这视频我想到无接触事故。'}
{'评论时间': '2024-02-09 10:03:55', 'IP属地': '河南', '评论内容': '大家只要安心回家过年就好，湖北高速既然不好走大家绕一下，走其它地方'}
{'评论时间': '2024-02-09 07:59:19', 'IP属地': '山东', '评论内容': '确实是冻雨，我们这下冻雨都不用除的，等到春暖花开自己就化了'}
{'评论时间': '2024-02-09 00:12:56', 'IP属地': '广东', '评论内容': '河南本身就是北方常年冬雪有何奇怪？？？季节气候就摆在那里还和南方比，比什么，比你们常年下雪有经验，难道不是正常的么？年年冻雪，如果没有经验你们如何居住如何生活？'}
{'评论时间': '2024-02-09 11:34:36', 'IP属地': '山东', '评论内容': '你看只要想干办法就是有的吧'}
{'评论时间': '2024-02-09 05:44:37', 'IP属地': '安徽', '评论内容': '评论区每个都是50万吗？为什么会怪湖北？冻雨是天灾，是湖北没事找事诚心想让人回不了家咋得？冻雨是雨水接触到地面的那一刻立刻结冰，没学过物理还没学过地理吗？'}
{'评论时间': '2024-02-09 01:02:43', 'IP属地': '河南', '评论内容': '这不就是雪被压实了嘛，北方哪个省份没见过？前几天看湖北的兄弟科普冻雨都给我整不自信了'}
{'评论时间': '2024-02-09 08:27:42', 'IP属地': '河北', '评论内容': '铲子不好用，十八镑大锤好用'}
{'评论时间': '2024-02-09 05:21:37', 'IP属地': '天津', '评论内容': '星期五开始下冻雨，湖北高速在等雪停，等太阳岀来'}
{'评论时间': '2024-02-09 17:35:29', 'IP属地': '湖南', '评论内容': '湖南一个市的绿化损失都有几千万了 死的人也很多 为什么还要去骂呢 神金 我之前出去都差点被树砸死了'}
{'评论时间': '2024-02-09 15:04:32', 'IP属地': '河北', '评论内容': '警察叔叔太帅了'}
{'评论时间': '2024-02-09 00:15:58', 'IP属地': '广东', '评论内容': '广东发来慰问，路通了吗？明天就大年三十了，希望大家都能平安到家'}
{'评论时间': '2024-02-09 01:38:18', 'IP属地': '安徽', '评论内容': '冻雨算个啥？！还能难倒人吗？！搞笑！'}
{'评论时间': '2024-02-09 12:08:53', 'IP属地': '福建', '评论内容': '老百姓的善良，湖北'}
{'评论时间': '2024-02-09 19:51:05', 'IP属地': '湖北', '评论内容': '兄弟们，我我现在已经沉默了累了，我准备他们那几个喷子多的地方，只要哪里出问题我马上去喷'}
{'评论时间': '2024-02-09 01:55:55', 'IP属地': '湖北', '评论内容': '我再说一遍，湖北人要是能控制天气，我们早就统治世界了'}
{'评论时间': '2024-02-09 02:55:57', 'IP属地': '湖南', '评论内容': '是天气的错'}
{'评论时间': '2024-02-09 05:11:49', 'IP属地': '山东', '评论内容': '感动！绝对的正能量！'}
{'评论时间': '2024-02-09 21:41:50', 'IP属地': '湖南', '评论内容': '我们这儿也有冻雨'}
{'评论时间': '2024-02-09 01:03:19', 'IP属地': '河北', '评论内容': '传到河北了，谢谢你湖北'}
{'评论时间': '2024-02-09 21:24:33', 'IP属地': '河南', '评论内容': '河南看到了      湖北加油全国都支持湖北'}
{'评论时间': '2024-02-09 02:32:10', 'IP属地': '山东', '评论内容': '骗骗南方人可以，'}
{'评论时间': '2024-02-09 08:45:35', 'IP属地': '山东', '评论内容': '在东北这都不算啥'}
{'评论时间': '2024-02-09 15:37:26', 'IP属地': '湖北', '评论内容': '我刚刚看到一个湖北发的树全是冰，摇不掉，结果下面一群喷子说看又在给我们科普'}
{'评论时间': '2024-02-09 07:52:30', 'IP属地': '河南', '评论内容': '河南收到了 辛苦了'}
{'评论时间': '2024-02-09 17:42:02', 'IP属地': '河南', '评论内容': '小铲子不错。我当时下手拔的'}
{'评论时间': '2024-02-09 11:23:35', 'IP属地': '山东', '评论内容': '对不住了，我忍不住的笑了'}
{'评论时间': '2024-02-09 06:33:51', 'IP属地': '山西', '评论内容': '为什么都在给我们科普冻雨？有什么意义？全国人民都在说你们路面清理不及时，你们湖北人却非得这样？可笑'}
{'评论时间': '2024-02-09 12:47:32', 'IP属地': '黑龙江', '评论内容': '一瞬间结冰10多cm'}
{'评论时间': '2024-02-09 15:59:41', 'IP属地': '陕西', '评论内容': '冻雨 被困在山里'}
{'评论时间': '2024-02-09 11:37:06', 'IP属地': '山西', '评论内容': '以后就有  不是有句歌词是 冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-09 00:24:40', 'IP属地': '湖北', '评论内容': '非常感谢一莎老师为湖北发声'}
{'评论时间': '2024-02-09 17:37:18', 'IP属地': '江苏', '评论内容': '别在这路上敲啊，找个屋顶，院子，草坪，花坛这些地方我看看是不是也这么厚的冰'}
{'评论时间': '2024-02-09 06:12:49', 'IP属地': '湖北', '评论内容': '路过的喷子外地人说有雪走不了的，路过一人吃一口不就吃没了，只要思想不滑坡，办法总比困难多。👍我们湘赣鄂还要过年'}
{'评论时间': '2024-02-09 08:33:09', 'IP属地': '吉林', '评论内容': '所以撒盐也没用吗'}
{'评论时间': '2024-02-09 00:06:33', 'IP属地': '山西', '评论内容': '评论区湖北人呢'}
{'评论时间': '2024-02-09 12:51:31', 'IP属地': '湖南', '评论内容': '下之前天气预报说有冻雨就得撒盐'}
{'评论时间': '2024-02-09 10:43:15', 'IP属地': '黑龙江', '评论内容': '反人类设计'}
{'评论时间': '2024-02-09 08:34:16', 'IP属地': '浙江', '评论内容': '河南没有赢过任何一次网络暴力但也没有输过任何一次民族大义！河南，中！'}
{'评论时间': '2024-02-09 01:53:49', 'IP属地': '新疆', '评论内容': '教都教不会，看人家怎么抖的雪，人家提前撒盐了'}
{'评论时间': '2024-02-09 01:58:55', 'IP属地': '陕西', '评论内容': '钱都到位了，不要再科普了'}
{'评论时间': '2024-02-09 02:54:41', 'IP属地': '广东', '评论内容': '笑死人，某些地区还年年冻雨'}
{'评论时间': '2024-02-09 17:55:22', 'IP属地': '辽宁', '评论内容': '嘴是真硬，这下的那是冻雨，这是犟雨'}
{'评论时间': '2024-02-09 01:17:42', 'IP属地': '山东', '评论内容': '我就不撒盐。随便你们咋说'}
{'评论时间': '2024-02-09 01:19:29', 'IP属地': '江西', '评论内容': '我湖北老表要是拿这些喷子们的嘴去当工具，早特么把冰给铲完了'}
