{'评论时间': '2024-02-04 18:54:49', 'IP属地': '安徽', '评论内容': '致敬武汉融雪除冰人，你们辛苦了！'}
{'评论时间': '2024-02-04 18:00:14', 'IP属地': '湖北', '评论内容': '湖北不是高冷，是真的冷'}
{'评论时间': '2024-02-04 23:28:01', 'IP属地': '陕西', '评论内容': '谁敢骂把谁捉去做成兵马俑'}
{'评论时间': '2024-02-04 20:03:59', 'IP属地': '河南', '评论内容': '大雪下个不停'}
{'评论时间': '2024-02-04 07:06:49', 'IP属地': '湖北', '评论内容': '你们都说湖北高冷呢！这次真真给个高冷你们看看，看看我们湖北高冷不高冷，热情不热情！连老天都帮我们湖北留住你们，帮我们高冷一回'}
{'评论时间': '2024-02-04 20:00:37', 'IP属地': '四川', '评论内容': '湖北宝宝受苦了，加油呀'}
{'评论时间': '2024-02-04 11:34:22', 'IP属地': '广东', '评论内容': '马上出发回湖北，希望高速一路畅通'}
{'评论时间': '2024-02-04 19:16:31', 'IP属地': '湖北', '评论内容': '怎么刚回湖北就被骂上热搜了'}
{'评论时间': '2024-02-04 23:31:33', 'IP属地': '江苏', '评论内容': '不要怪湖北，天灾谁也不想的'}
{'评论时间': '2024-02-04 12:46:57', 'IP属地': '湖北', '评论内容': '来武汉游玩的人可真是挣了，武汉也玩了，哈尔滨的雪景也看了'}
{'评论时间': '2024-02-04 16:44:55', 'IP属地': '四川', '评论内容': '那些喷湖北的来看看吧'}
{'评论时间': '2024-02-04 13:45:34', 'IP属地': '湖北', '评论内容': '我来蹭点浏览量。湖北终于下雪了'}
{'评论时间': '2024-02-04 16:49:20', 'IP属地': '广西', '评论内容': '本南方人连见两粒冰雹都嗷嗷大叫，所以冻雨是什么？'}
{'评论时间': '2024-02-04 18:03:17', 'IP属地': '江西', '评论内容': '不准骂老表，落地成冰，这真的是无法控制的'}
{'评论时间': '2024-02-04 20:53:27', 'IP属地': '湖北', '评论内容': '我都不知道我7号的火车能开吗'}
{'评论时间': '2024-02-04 19:03:09', 'IP属地': '重庆', '评论内容': '我在武汉读书，'}
{'评论时间': '2024-02-04 23:44:18', 'IP属地': '湖北', '评论内容': '湖北因为疫情滞留过，现在又因为冻雨'}
{'评论时间': '2024-02-04 16:14:53', 'IP属地': '浙江', '评论内容': '天灾为什么要骂人啊'}
{'评论时间': '2024-02-04 19:33:13', 'IP属地': '湖南', '评论内容': '看看湖南常德吧，同样的冻雨，全市车辆停运，出门全靠步行'}
{'评论时间': '2024-02-04 12:24:17', 'IP属地': '广东', '评论内容': '高速产雪了没有？我马上要过湖北。'}
{'评论时间': '2024-02-04 16:55:27', 'IP属地': '湖北', '评论内容': '而且湖北已经很多年没有下这么大的雪了'}
{'评论时间': '2024-02-04 08:39:25', 'IP属地': '湖北', '评论内容': '冻雨'}
{'评论时间': '2024-02-04 20:29:44', 'IP属地': '湖北', '评论内容': '是冻雨啊'}
{'评论时间': '2024-02-04 18:05:52', 'IP属地': '贵州', '评论内容': '想回家就提前点呗！非得赶在春运这点上，这下进退两难了，唉'}
{'评论时间': '2024-02-04 14:27:55', 'IP属地': '江西', '评论内容': '湖北是最好的老表'}
{'评论时间': '2024-02-04 19:59:28', 'IP属地': '广东', '评论内容': '谁还敢骂武汉，这几年是真的难'}
{'评论时间': '2024-02-04 18:56:46', 'IP属地': '天津', '评论内容': '有在这问冻雨是啥那空不如在抖音搜一下'}
{'评论时间': '2024-02-04 22:25:05', 'IP属地': '湖北', '评论内容': '天灾不是我们人为能控制的 我们也不想冻上之后再下雪啊'}
{'评论时间': '2024-02-04 16:10:38', 'IP属地': '河南', '评论内容': '湖北是冻雨➕雪，我知道冻雨的危害，希望能够慢慢恢复，国家应急部门基本上也会有所行动的，就我个人啊个人的经验而言，雪如果压实压硬的话实际上超级超级滑'}
{'评论时间': '2024-02-04 18:45:43', 'IP属地': '湖南', '评论内容': '湖南也冻雨了，骂湖南湖北的你们给我记住了，下次走高速别走我们这'}
{'评论时间': '2024-02-04 23:47:59', 'IP属地': '辽宁', '评论内容': '不懂就问，湖北每年都会下冻雨吗'}
{'评论时间': '2024-02-04 18:54:51', 'IP属地': '湖北', '评论内容': '骂湖北的人替我们挡灾'}
{'评论时间': '2024-02-04 20:36:17', 'IP属地': '湖北', '评论内容': '湖北前几年疫情被骂   今年冻雨被骂'}
{'评论时间': '2024-02-04 22:57:56', 'IP属地': '湖北', '评论内容': '我作为湖北人，我也第一次见冻雨'}
{'评论时间': '2024-02-04 19:01:30', 'IP属地': '海南', '评论内容': '在海南为你们加油'}
{'评论时间': '2024-02-04 19:19:51', 'IP属地': '辽宁', '评论内容': '湖北冻雨长什么样子 哪个好心人可以拍张照我看看'}
{'评论时间': '2024-02-04 23:32:55', 'IP属地': '湖北', '评论内容': '喷子们应该都抓到湖北来铲冰'}
{'评论时间': '2024-02-04 13:59:07', 'IP属地': '宁夏', '评论内容': '东北下那么大雪也没事'}
{'评论时间': '2024-02-04 21:24:06', 'IP属地': '四川', '评论内容': '到处都下雪了，只有我们这不下'}
{'评论时间': '2024-02-04 09:22:12', 'IP属地': '湖北', '评论内容': '昨天汉口站也这样'}
{'评论时间': '2024-02-04 23:16:52', 'IP属地': '广东', '评论内容': '湘湘我因为火车停运已经回不去老家了'}
{'评论时间': '2024-02-04 15:16:33', 'IP属地': '湖北', '评论内容': '高速今天跑了十几公里'}
{'评论时间': '2024-02-04 19:56:48', 'IP属地': '湖北', '评论内容': '真的哭死，我们真的在努力抢救了，天气这么冷就不能体谅一下前线工作人员吗，都有人为此牺牲了还要骂吗，有些人有没有良心啊，天灾是我们能控制的吗'}
{'评论时间': '2024-02-04 23:49:12', 'IP属地': '重庆', '评论内容': '谁再说湖北谁明天掉一百根头发'}
{'评论时间': '2024-02-04 19:28:41', 'IP属地': '湖北', '评论内容': '这个视频传出湖北了吗'}
{'评论时间': '2024-02-04 21:20:24', 'IP属地': '内蒙古', '评论内容': '又是湖北，幸苦了'}
{'评论时间': '2024-02-04 08:44:13', 'IP属地': '湖北', '评论内容': '这车产自湖北随州'}
{'评论时间': '2024-02-04 19:08:35', 'IP属地': '福建', '评论内容': '明天福建回重庆的票，走得了吗'}
{'评论时间': '2024-02-04 20:08:28', 'IP属地': '北京', '评论内容': '是不是就是北方的雨夹雪'}
{'评论时间': '2024-02-04 21:19:14', 'IP属地': '河南', '评论内容': '我们河南高速确实做的很棒，但是恳请大家夸河南高速的时候不要捎带去黑其他省份，每个地方的天气情况不一样，毕竟谁都不想遇到这种天灾，湖北湖南这次毕竟遇到的是百年一见的冰冻灾害，我们河南人深知被黑的无力感。也希望大家理解，团结一致共度难关，并祝愿大家都一路顺利，平平安安全家团圆过新年！湖北加油'}
{'评论时间': '2024-02-04 14:09:22', 'IP属地': '湖南', '评论内容': '昨天早上五点上班晚点六个小时 还要跑加开车一天24小时我跑了33个小时 没睡觉 我真的想死的心都有了 现在才下班 明天又是五点上班 '}
{'评论时间': '2024-02-04 19:30:51', 'IP属地': '湖北', '评论内容': '我在黄冈，今早上学脚踩冰碴子滑进学校'}
{'评论时间': '2024-02-04 17:38:35', 'IP属地': '河南', '评论内容': '冻雨也是，刚好下到交界的地方'}
{'评论时间': '2024-02-04 12:24:43', 'IP属地': '湖北', '评论内容': '这是极端灾害天气，不是普通的雪天气，'}
{'评论时间': '2024-02-04 20:53:49', 'IP属地': '湖北', '评论内容': '身为武汉人第一次听说冻雨，冻雨是什么？'}
{'评论时间': '2024-02-04 19:50:54', 'IP属地': '湖北', '评论内容': '不知道冻雨什么样的来我这儿看、门把手差一点拉断了'}
{'评论时间': '2024-02-04 12:29:26', 'IP属地': '湖北', '评论内容': '体验一下了东北人的快乐'}
{'评论时间': '2024-02-04 22:38:19', 'IP属地': '广西', '评论内容': '坐个高铁一路火花带闪电'}
{'评论时间': '2024-02-04 18:29:13', 'IP属地': '湖北', '评论内容': '我一个湖北的都是头一次遇见这气候，最开始下的不是雪，下的直接是链子，然后雨来了，第二天全冻住，接着就是不停的雪'}
{'评论时间': '2024-02-04 16:34:25', 'IP属地': '湖北', '评论内容': '这视频能传出湖北吗'}
{'评论时间': '2024-02-04 13:05:01', 'IP属地': '湖北', '评论内容': '湖北人出门直接变冰糖葫芦人，边走边被包浆的感觉你体验过吗'}
{'评论时间': '2024-02-04 19:30:58', 'IP属地': '湖北', '评论内容': '不知道什么是冻雨的看图'}
{'评论时间': '2024-02-04 23:28:57', 'IP属地': '广西', '评论内容': '冻雨和雪有什么区别吗'}
{'评论时间': '2024-02-04 19:11:27', 'IP属地': '湖北', '评论内容': '因为路上都上冰了和对象隔十公里也见不了面'}
{'评论时间': '2024-02-04 23:40:33', 'IP属地': '北京', '评论内容': '刚从湖南回来 '}
{'评论时间': '2024-02-04 17:22:24', 'IP属地': '湖北', '评论内容': '没有花钱就体验了滑冰，刚出门就摔一跤，屁股到现在还痛'}
{'评论时间': '2024-02-04 20:44:39', 'IP属地': '江西', '评论内容': '谁都不可以喷我们老表（我是至亲'}
{'评论时间': '2024-02-04 16:53:05', 'IP属地': '广东', '评论内容': '湖南'}
{'评论时间': '2024-02-04 17:24:17', 'IP属地': '河南', '评论内容': '我现在还在武汉，我就不用回家了'}
{'评论时间': '2024-02-04 17:19:12', 'IP属地': '河南', '评论内容': '谁骂湖北啊'}
{'评论时间': '2024-02-04 21:51:48', 'IP属地': '湖南', '评论内容': '多点理解多点包容吧，真的很不容易啊，我们是中国人，我们团结一致'}
{'评论时间': '2024-02-04 18:26:30', 'IP属地': '山东', '评论内容': '虽然我们这里没有冻雨，但是每年冬天都有很多蔬菜冻死和冻坏'}
{'评论时间': '2024-02-04 16:40:01', 'IP属地': '湖北', '评论内容': '辛苦了'}
{'评论时间': '2024-02-04 23:05:54', 'IP属地': '湖南', '评论内容': '湖南也有冻雨'}
{'评论时间': '2024-02-04 21:02:51', 'IP属地': '湖北', '评论内容': '因为堵在路上冒的事做，唯一的乐趣就是当喷子'}
{'评论时间': '2024-02-04 23:36:18', 'IP属地': '湖北', '评论内容': '湖北的冰，有自己的想法'}
{'评论时间': '2024-02-04 14:51:09', 'IP属地': '湖北', '评论内容': '这次湖北暴雪冻雨本来就很严重，但是大家都有在积极行动，尽可能保证交通运作，而且很多机器根本运转不了，很多都是人为解决，人家费时费力挨冻清障你们看不到…暴雪冻雨属于天灾，还有人怪到湖北头上了，真够无知的'}
{'评论时间': '2024-02-04 14:37:26', 'IP属地': '江西', '评论内容': '出门注意安全，鄂鄂'}
{'评论时间': '2024-02-04 18:44:33', 'IP属地': '湖北', '评论内容': '哈尔滨是冰雪大世界，武汉市冰雪全武汉'}
{'评论时间': '2024-02-04 18:55:13', 'IP属地': '湖南', '评论内容': '不许说老表'}
{'评论时间': '2024-02-04 19:51:01', 'IP属地': '安徽', '评论内容': '不懂为什么天天骂这个省骂那个省，都是中国人都是一家人有什么好骂的，那有些事情也不是人为可控的，像这种天灾肯定是任何人都不想看到遇到的啊，真不知道有些人天天在网上骂什么骂，天天只会在网络上敲键盘来突显你那卑微的现实生活中的存在感是吗'}
{'评论时间': '2024-02-04 22:21:32', 'IP属地': '湖北', '评论内容': '我困在了武汉'}
{'评论时间': '2024-02-04 13:37:42', 'IP属地': '河北', '评论内容': '开玩笑湖北文旅留不住你，我湖北冻雨还留不住？？'}
{'评论时间': '2024-02-04 22:53:32', 'IP属地': '吉林', '评论内容': '三四年前东北（长春）的冻雨也折断了不少树枝，下午开始   下的雨落地后冻成冰，第二天早上好多车门都被冻住，好多车主在敲冰的过程中把挡风玻璃敲碎'}
{'评论时间': '2024-02-04 17:51:25', 'IP属地': '河南', '评论内容': '作为一个河南人，为湖北发声，希望大家理智一点，毕竟湖北不经常下雪，所以铲雪车少很正常，其次，湖北下的是冻雨，和河南的雪不一样，雪好处理，冻雨难处理，大家不要有地域攻击！记住我们是一家人！'}
{'评论时间': '2024-02-04 19:14:39', 'IP属地': '福建', '评论内容': '片面对冻雨的理解，应该是 下的是雨，落地成冰，路结冰，车轨结冰，高铁动力线路结冰，无法运行， 不知对吗'}
{'评论时间': '2024-02-04 22:35:12', 'IP属地': '辽宁', '评论内容': '不知道7号从沈阳出发湖南路况如何 '}
{'评论时间': '2024-02-04 22:54:58', 'IP属地': '湖北', '评论内容': '我在武汉站 等了12个小时 还好是走了'}
{'评论时间': '2024-02-04 22:02:48', 'IP属地': '四川', '评论内容': '都想回家过年啊，这该死的天气'}
{'评论时间': '2024-02-04 20:58:12', 'IP属地': '湖北', '评论内容': '湖北加油'}
{'评论时间': '2024-02-04 17:34:34', 'IP属地': '湖北', '评论内容': '很多人都问冻雨长什么样子，冰糖葫芦见过吗？冰糖汽车，冰糖马路牙子，冰糖房子，冰糖插座，冰糖自行车，冰糖树，冰糖电线。一个好吃，一个是灾害。'}
{'评论时间': '2024-02-04 04:58:58', 'IP属地': '安徽', '评论内容': '本来晚上22点到的车'}
{'评论时间': '2024-02-04 14:23:50', 'IP属地': '湖北', '评论内容': '京港澳高速南向北方向，军山大桥，从上午到现在，一动不动，求求了'}
{'评论时间': '2024-02-04 16:25:26', 'IP属地': '湖北', '评论内容': '今早上班路面全是冰，差点滑倒撞别人车头去了，吓死了'}
{'评论时间': '2024-02-04 21:12:46', 'IP属地': '湖北', '评论内容': '虽然我取消了行程，但我一点也不觉得是铁路部门的问题'}
{'评论时间': '2024-02-04 08:53:53', 'IP属地': '湖北', '评论内容': '作为湖北人、一大早起来都是骂湖北人的真的好想哭、我们湖北人也是很心善的、这是天灾我们也没有办法呀'}
{'评论时间': '2024-02-04 20:18:13', 'IP属地': '湖南', '评论内容': '从来不觉得冻雨美好 因为我是经历过08年湖南冰灾的 断水断电 交通瘫痪 '}
{'评论时间': '2024-02-04 13:34:35', 'IP属地': '浙江', '评论内容': '湖北朋友不用去东北感受冰雪了'}
{'评论时间': '2024-02-04 23:05:02', 'IP属地': '河南', '评论内容': '我们河南下的是雪，除雪车，撒盐，都可以弄，但是非常非常非常艰辛，全河南的除雪车都出动了，郑州高架每隔50米就有一袋除雪剂。湖北下的冰，更不好弄，束手无措，只能在家不出门，或者尽量小心，但是别引战！！大家都是中国人，什么事儿只要牵到河南就必须拉出来用一用，我们不是没有嘴，只是不想说'}
{'评论时间': '2024-02-04 18:57:12', 'IP属地': '湖北', '评论内容': '求求你们不要网暴我们湖北，冻雨➕雪掉到地上直接结冰，前脚清后脚结冰，根本清不完，工人们已经很累，'}
{'评论时间': '2024-02-04 01:38:40', 'IP属地': '湖北', '评论内容': '不得不说，昨天晚上了，又在打雷又下雪'}
{'评论时间': '2024-02-04 17:59:11', 'IP属地': '山西', '评论内容': '难怪湖北人高冷，下的雨都比别人冷'}
{'评论时间': '2024-02-04 22:37:01', 'IP属地': '湖北', '评论内容': '让我看看是谁敢骂我们武汉 我就在这里守着 看谁敢来骂'}
{'评论时间': '2024-02-04 22:00:23', 'IP属地': '湖北', '评论内容': '只有武汉人才懂！终于有人站出来说话了！'}
{'评论时间': '2024-02-04 06:15:33', 'IP属地': '湖北', '评论内容': '除一下高速的吧，36小时了，还在武汉'}
{'评论时间': '2024-02-04 11:14:57', 'IP属地': '湖北', '评论内容': '两天三夜湖北行，酒店贡献两夜'}
{'评论时间': '2024-02-04 19:30:20', 'IP属地': '湖南', '评论内容': '冻雨真的很可怕'}
{'评论时间': '2024-02-04 21:45:46', 'IP属地': '西藏', '评论内容': '冻雨就是又下雨又下雪，但雪比雨大，然后落在树叶上型成厚厚的冰雪，由于受冻导致树枝变得很脆，当树枝承受不住压力就断了，2022年2月云南楚雄也遭受了冻雨，当时也是断了好多树'}
{'评论时间': '2024-02-04 22:47:12', 'IP属地': '四川', '评论内容': '这19年武汉开始疫情，这刚好了这冰雪又来啦，这武汉到底怎么了'}
{'评论时间': '2024-02-04 12:41:50', 'IP属地': '河南', '评论内容': '天灾，骂俺老表鄂鄂爪子嘞'}
{'评论时间': '2024-02-04 23:06:53', 'IP属地': '湖北', '评论内容': '很像我早上车子打滑还要去上班的样子'}
{'评论时间': '2024-02-04 22:50:27', 'IP属地': '浙江', '评论内容': '天哪！！！！最近武汉的工作人员真的辛苦了！！还在上班的人也辛苦了'}
{'评论时间': '2024-02-04 18:06:54', 'IP属地': '河南', '评论内容': '难怪说湖北的人高冷！'}
{'评论时间': '2024-02-04 14:57:54', 'IP属地': '安徽', '评论内容': '安徽也是这样子，高速堵车都在骂我们安徽为什么不清理积雪'}
{'评论时间': '2024-02-04 08:17:57', 'IP属地': '湖南', '评论内容': '晚点了 我真的累了'}
{'评论时间': '2024-02-04 04:11:00', 'IP属地': '河南', '评论内容': '话说，你到了没？（我倒希望你没有到'}
{'评论时间': '2024-02-04 19:36:02', 'IP属地': '河北', '评论内容': '看着真好玩，还好我在河北'}
{'评论时间': '2024-02-04 12:34:10', 'IP属地': '江苏', '评论内容': '也可能湖北天气预报延迟'}
{'评论时间': '2024-02-04 23:34:44', 'IP属地': '重庆', '评论内容': '隔着屏幕都感觉好危险！希望大家平安健康'}
{'评论时间': '2024-02-04 17:18:24', 'IP属地': '安徽', '评论内容': '互相理解吧，是天气原因'}
{'评论时间': '2024-02-04 18:10:03', 'IP属地': '湖北', '评论内容': '你知道飘小冰晶有多无助吗，一点一点混着水，落地就成冰，道路结冰会打滑，走路一不小心就去见太奶，房屋上挂着冰柱，铁路的线也同理'}
{'评论时间': '2024-02-04 18:38:41', 'IP属地': '河南', '评论内容': '河南是因为有暴雪预告，做了准备的，除雪车和融雪剂都准备好了，湖北可能是突然来的天灾，所以没准备，之前还有嘲笑河南暴雪没下来的人，你们和骂湖北的人都是汉奸'}
{'评论时间': '2024-02-04 21:51:27', 'IP属地': '湖北', '评论内容': '我们这里下不下冻雨也不是我们决定的'}
{'评论时间': '2024-02-04 13:03:37', 'IP属地': '湖北', '评论内容': '辛苦你们了！铲车师傅们'}
{'评论时间': '2024-02-04 17:33:11', 'IP属地': '湖南', '评论内容': '这是天灾，不要骂表表'}
{'评论时间': '2024-02-04 21:45:40', 'IP属地': '湖南', '评论内容': '岳阳市区 连续两天停电路上全是树枝 所有的树都被压弯了'}
{'评论时间': '2024-02-04 07:56:04', 'IP属地': '湖北', '评论内容': '下雪了下雪了，武汉江夏'}
{'评论时间': '2024-02-04 23:41:15', 'IP属地': '湖北', '评论内容': '连着两天走路上班去一个小时，回来一个小时'}
{'评论时间': '2024-02-04 16:53:47', 'IP属地': '浙江', '评论内容': '2024年起湖北人民风调雨顺'}
{'评论时间': '2024-02-04 12:55:52', 'IP属地': '福建', '评论内容': '武汉真的是英雄城市，什么磨难都得你来经历'}
{'评论时间': '2024-02-04 22:54:41', 'IP属地': '河南', '评论内容': '熬过了疫情，又碰到这样的天气。过年回家太难了'}
{'评论时间': '2024-02-04 22:44:29', 'IP属地': '广东', '评论内容': '湖北加油'}
{'评论时间': '2024-02-04 22:52:18', 'IP属地': '湖北', '评论内容': '我车旁边一棵树就齐腰断，雨下直接结冰根本所谓的撒盐融雪剂不奏效，画的都没冻的快，结冰的地面铲子都铲不动跟吸附在地面上一样，要是真的是不作为不用你们外地的喷我们本地的自己来，那些无脑乱喷的麻烦先储备一下自己的知识什么叫冻雨'}
{'评论时间': '2024-02-04 22:08:18', 'IP属地': '上海', '评论内容': '各位湖北的家人们你们要平安啊'}
{'评论时间': '2024-02-04 13:20:18', 'IP属地': '湖北', '评论内容': '荆州下雪了'}
{'评论时间': '2024-02-04 19:05:11', 'IP属地': '湖北', '评论内容': '湖北的冻雨就是把所有的东西都变成冰糖葫芦'}
{'评论时间': '2024-02-04 00:22:06', 'IP属地': '黑龙江', '评论内容': '关键就这冻雨，车开出去不滑吗。满地冰。。。那边有清冰的队伍吗'}
{'评论时间': '2024-02-04 17:58:49', 'IP属地': '湖北', '评论内容': '湖北大冶几乎没下雪，雨已经下10天了'}
{'评论时间': '2024-02-04 18:23:56', 'IP属地': '湖北', '评论内容': '希望大家都安全到家'}
{'评论时间': '2024-02-04 10:19:52', 'IP属地': '湖北', '评论内容': '我们一号中午出发的，二号晚上到章庄铺，下高速就封了，现在还在平安县'}
{'评论时间': '2024-02-04 15:40:07', 'IP属地': '河南', '评论内容': '停运是为了什么，停了不就是为了保证安全吗？这有什么好喷的，谁不想回家'}
{'评论时间': '2024-02-04 22:59:20', 'IP属地': '浙江', '评论内容': '这种天灾之下，看到湖北人在杂乱倒下的树枝中行走，真的揪一把心阿'}
{'评论时间': '2024-02-04 17:44:27', 'IP属地': '河南', '评论内容': '谁骂我湖北湖南的老表们，你们懂不懂什么是冻雨，不懂的回去查查百度吧'}
{'评论时间': '2024-02-04 15:52:18', 'IP属地': '四川', '评论内容': '七号出发到湖北还能正常出行吗'}
{'评论时间': '2024-02-04 19:45:42', 'IP属地': '湖北', '评论内容': '辛苦了警察叔叔'}
{'评论时间': '2024-02-04 22:53:05', 'IP属地': '四川', '评论内容': '感谢湖北人民'}
{'评论时间': '2024-02-04 19:19:59', 'IP属地': '重庆', '评论内容': '这是天灾，工作人员已经在日夜不停的抢修了，但是一直下冻雨也没办法啊'}
{'评论时间': '2024-02-04 23:44:18', 'IP属地': '甘肃', '评论内容': '这就是南方树没经验了，北方的一到冬天叶子都掉完了，根本不会压断'}
{'评论时间': '2024-02-04 23:11:22', 'IP属地': '湖北', '评论内容': '我家这里就是今天晚上2点起来上个厕所突然停电了，天亮了才知道是冻雨把高压电线压断了'}
{'评论时间': '2024-02-04 16:29:00', 'IP属地': '湖北', '评论内容': '武汉真的下冰碴子'}
{'评论时间': '2024-02-04 02:14:35', 'IP属地': '湖北', '评论内容': '昨天出门还差点滑倒了'}
{'评论时间': '2024-02-04 20:40:19', 'IP属地': '广东', '评论内容': '往年因为疫情不能回家，今年好不容易开放了，搞这出'}
{'评论时间': '2024-02-04 19:12:52', 'IP属地': '湖北', '评论内容': '冻雨就是不管落到哪里，就会马上结冰，所有东西就像是冰糖葫芦一样'}
{'评论时间': '2024-02-04 00:27:56', 'IP属地': '广东', '评论内容': '就是，只有这一辆，晚上坐车回来感觉都是飘回来的'}
{'评论时间': '2024-02-04 19:40:48', 'IP属地': '安徽', '评论内容': '希望大家都能平安到家'}
{'评论时间': '2024-02-04 17:51:27', 'IP属地': '湖南', '评论内容': '湖南益阳'}
{'评论时间': '2024-02-04 21:37:19', 'IP属地': '河南', '评论内容': '湖北加油哦'}
{'评论时间': '2024-02-04 21:44:09', 'IP属地': '湖北', '评论内容': '虽然我也是湖北的，但是这冻雨和大雪不是人能控制的。理解大家此时的心情（因为去年也是动车晚点，我在高铁等了三个小时）还是希望大家理性一点，祝大家一路平安'}
{'评论时间': '2024-02-04 19:55:31', 'IP属地': '湖南', '评论内容': '不要怕，湖北老表被骂了，要到湖南了，等到江西老表被骂那天，三兄弟就该创业了'}
{'评论时间': '2024-02-04 23:01:06', 'IP属地': '湖南', '评论内容': '已经停电好久了'}
{'评论时间': '2024-02-04 21:18:48', 'IP属地': '广东', '评论内容': '我广东20多度'}
{'评论时间': '2024-02-04 22:51:49', 'IP属地': '河北', '评论内容': '请恢复我们直达的火车'}
{'评论时间': '2024-02-04 12:00:54', 'IP属地': '河南', '评论内容': '情况不一样，希望大家理性一点，互相理解，湖北'}
{'评论时间': '2024-02-04 19:37:19', 'IP属地': '河南', '评论内容': '别吐槽湖北高速了 每个地方面临的都不一样 他们下的是冻雨跟普通的雪都不一样 理解每个人都想回家的心 中华儿女都是一家人'}
{'评论时间': '2024-02-04 17:43:59', 'IP属地': '湖南', '评论内容': '湖南也是冻雨关注一下俺们困了一天一夜的人吧'}
{'评论时间': '2024-02-04 19:48:40', 'IP属地': '云南', '评论内容': '我只听说过刘德华唱的冰雨，很好奇冻雨是什么样'}
{'评论时间': '2024-02-04 07:34:31', 'IP属地': '湖北', '评论内容': '我也只想说我在高速路上封路了 10 几个小时'}
{'评论时间': '2024-02-04 10:10:43', 'IP属地': '江西', '评论内容': '我们昨天从成都回来，自进入湖北界就开始缓慢行驶，要么挺止不动，导致我们晚到了6个多小时'}
{'评论时间': '2024-02-04 15:51:51', 'IP属地': '山东', '评论内容': '给你们看看湖北的冻雪'}
{'评论时间': '2024-02-04 20:43:23', 'IP属地': '湖南', '评论内容': '我在新疆还舒服些，有暖气天天室内穿裙子，现在回湖南了晚上冻得瑟瑟发抖，四五天没洗澡洗头了'}
{'评论时间': '2024-02-04 19:32:42', 'IP属地': '湖北', '评论内容': '路上的树都被压断了'}
{'评论时间': '2024-02-04 13:51:38', 'IP属地': '湖北', '评论内容': '不要骂我们湖北人了我们也不想这样啊'}
{'评论时间': '2024-02-04 22:20:36', 'IP属地': '湖北', '评论内容': '我们大湖北没有赢过一次网络暴力，但更没输过一次民族仗义'}
{'评论时间': '2024-02-04 23:11:07', 'IP属地': '湖北', '评论内容': '昨天高铁延误三个多小时'}
{'评论时间': '2024-02-04 03:34:34', 'IP属地': '山东', '评论内容': '前段时间山东，，出门全是溜冰场摔坏了好多人'}
{'评论时间': '2024-02-04 22:06:20', 'IP属地': '湖南', '评论内容': '我跟湖北交界，这个天气，真的好多年没碰到过了'}
{'评论时间': '2024-02-04 21:05:38', 'IP属地': '安徽', '评论内容': '安徽六安也有部分地区下的冻雨，真的很滑，早上起来车上一层冰，车门冻得都得手扒门缝使劲儿扒才能打开'}
{'评论时间': '2024-02-04 16:51:08', 'IP属地': '河南', '评论内容': '加油鄂鄂'}
{'评论时间': '2024-02-04 17:37:21', 'IP属地': '河南', '评论内容': '挺湖北'}
{'评论时间': '2024-02-04 17:33:05', 'IP属地': '河南', '评论内容': '因为郑州下大雪了'}
{'评论时间': '2024-02-04 23:19:56', 'IP属地': '湖北', '评论内容': '可是绿皮火车现在少了很多'}
{'评论时间': '2024-02-04 09:41:14', 'IP属地': '湖北', '评论内容': '好想去，可是要上班，真的好美'}
{'评论时间': '2024-02-04 23:38:45', 'IP属地': '广东', '评论内容': '一个湖北湖南的冻雨装了电刀又冷还下雨'}
{'评论时间': '2024-02-04 20:13:27', 'IP属地': '湖南', '评论内容': '谢谢你们 武铁的工作人员 我已经坐上从武汉出发的高铁了'}
{'评论时间': '2024-02-04 08:15:49', 'IP属地': '湖北', '评论内容': '高速上过来铲一下，12个小时了没动过'}
{'评论时间': '2024-02-04 12:52:24', 'IP属地': '湖北', '评论内容': '高速被封，昨天只能走低速绕远路回家，在路上真的碰到大家在铲雪在撒盐，可是雨不停雪不停，人的力量在天灾面前是渺小的，爷爷昨晚车祸去世'}
{'评论时间': '2024-02-04 23:17:43', 'IP属地': '山东', '评论内容': '让你们看看什么叫湖北的冻雨'}
{'评论时间': '2024-02-04 17:48:09', 'IP属地': '浙江', '评论内容': '大学生只是担心在武汉的电瓶车'}
{'评论时间': '2024-02-04 23:16:08', 'IP属地': '湖北', '评论内容': '高铁线路瘫痪，工人们24小时连轴转，人工清障，还要冒着被电的风险，这是天灾，大家还是多份理解'}
{'评论时间': '2024-02-04 15:16:19', 'IP属地': '湖南', '评论内容': '冻雨是真的不好处理啊路就像结冰的湖面一样容易打滑，没有一个中国人不想家家团圆，不要骂了'}
{'评论时间': '2024-02-04 22:35:24', 'IP属地': '浙江', '评论内容': '？谁骂？天灾导致的又不是人为的 工作人员不是一直在抢修吗'}
{'评论时间': '2024-02-04 23:42:20', 'IP属地': '湖南', '评论内容': '这是我老家的一颗茶花树，之前从没遇到过冻雨之前，不管多大的雪，它从没有被压下过，但是今年的冻雨却把它压成了这样'}
{'评论时间': '2024-02-04 20:32:20', 'IP属地': '广西', '评论内容': '冻雨就是很冰的雨，所以也叫冰雨，有一首歌的歌词就有提到过“冷冷的冰雨在脸上胡乱地拍”'}
{'评论时间': '2024-02-04 23:07:54', 'IP属地': '福建', '评论内容': '好不容易摆脱疫情，武汉又被大雪包围了'}
